Date,Month,Hour Taken,Pollutant
01/04/2011,4,0,3.4
01/04/2011,4,1,2.8
01/04/2011,4,2,3.1
01/04/2011,4,3,5.3
01/04/2011,4,4,10.9
01/04/2011,4,5,16.9
01/04/2011,4,6,63.1
01/04/2011,4,7,70.9
01/04/2011,4,8,69.9
01/04/2011,4,9,76.1
01/04/2011,4,10,75.8
01/04/2011,4,11,62.3
01/04/2011,4,12,73.3
01/04/2011,4,13,66.6
01/04/2011,4,14,67.3
01/04/2011,4,15,60.5
01/04/2011,4,16,67.2
01/04/2011,4,17,45.2
01/04/2011,4,18,34.5
01/04/2011,4,19,41.9
01/04/2011,4,20,28.3
01/04/2011,4,21,19.7
01/04/2011,4,22,13.2
01/04/2011,4,23,8.6
02/04/2011,4,0,6.9
02/04/2011,4,1,8.1
02/04/2011,4,2,9.0
02/04/2011,4,3,5.5
02/04/2011,4,4,14.0
02/04/2011,4,5,23.7
02/04/2011,4,6,28.9
02/04/2011,4,7,63.0
02/04/2011,4,8,37.2
02/04/2011,4,9,29.5
02/04/2011,4,10,27.9
02/04/2011,4,11,27.7
02/04/2011,4,12,29.3
02/04/2011,4,13,31.2
02/04/2011,4,14,32.0
02/04/2011,4,15,30.1
02/04/2011,4,16,44.7
02/04/2011,4,17,33.7
02/04/2011,4,18,33.8
02/04/2011,4,19,42.0
02/04/2011,4,20,22.7
02/04/2011,4,21,14.8
02/04/2011,4,22,10.2
02/04/2011,4,23,9.8
03/04/2011,4,0,12.9
03/04/2011,4,1,9.5
03/04/2011,4,2,6.9
03/04/2011,4,3,3.8
03/04/2011,4,4,5.2
03/04/2011,4,5,8.0
03/04/2011,4,6,13.9
03/04/2011,4,7,29.0
03/04/2011,4,8,22.0
03/04/2011,4,9,36.0
03/04/2011,4,10,28.5
03/04/2011,4,11,26.1
03/04/2011,4,12,26.1
03/04/2011,4,13,33.1
03/04/2011,4,14,33.7
03/04/2011,4,15,24.2
03/04/2011,4,16,22.4
03/04/2011,4,17,29.4
03/04/2011,4,18,26.3
03/04/2011,4,19,35.4
03/04/2011,4,20,39.8
03/04/2011,4,21,31.2
03/04/2011,4,22,11.8
03/04/2011,4,23,5.1
04/04/2011,4,0,10.7
04/04/2011,4,1,6.9
04/04/2011,4,2,2.1
04/04/2011,4,3,3.1
04/04/2011,4,4,10.3
04/04/2011,4,5,26.9
04/04/2011,4,6,80.5
04/04/2011,4,7,112.9
04/04/2011,4,8,88.9
04/04/2011,4,9,88.9
04/04/2011,4,10,62.6
04/04/2011,4,11,44.6
04/04/2011,4,12,51.7
04/04/2011,4,13,48.3
04/04/2011,4,14,47.1
04/04/2011,4,15,53.5
04/04/2011,4,16,39.4
04/04/2011,4,17,38.9
04/04/2011,4,18,27.0
04/04/2011,4,19,19.6
04/04/2011,4,20,21.0
04/04/2011,4,21,7.4
04/04/2011,4,22,5.4
04/04/2011,4,23,4.7
05/04/2011,4,0,1.2
05/04/2011,4,1,0.2
05/04/2011,4,2,0.6
05/04/2011,4,3,3.4
05/04/2011,4,4,7.7
05/04/2011,4,5,15.8
05/04/2011,4,6,38.3
05/04/2011,4,7,64.0
05/04/2011,4,8,55.5
05/04/2011,4,9,70.5
05/04/2011,4,10,78.7
05/04/2011,4,11,78.4
05/04/2011,4,12,57.1
