Date,Month,Hour Taken,Pollutant
01/08/2010,8,0,4.3
01/08/2010,8,1,3.8
01/08/2010,8,2,2.0
01/08/2010,8,3,2.1
01/08/2010,8,4,0.8
01/08/2010,8,5,3.2
01/08/2010,8,6,4.3
01/08/2010,8,7,5.1
01/08/2010,8,8,10.8
01/08/2010,8,9,11.5
01/08/2010,8,10,16.7
01/08/2010,8,11,22.8
01/08/2010,8,12,23.0
01/08/2010,8,13,16.0
01/08/2010,8,14,16.8
01/08/2010,8,15,19.2
01/08/2010,8,16,13.3
01/08/2010,8,17,15.4
01/08/2010,8,18,16.5
01/08/2010,8,19,13.5
01/08/2010,8,20,7.0
01/08/2010,8,21,6.7
01/08/2010,8,22,3.4
01/08/2010,8,23,0.9
02/08/2010,8,0,0.3
02/08/2010,8,1,0.0
02/08/2010,8,2,0.1
02/08/2010,8,3,0.3
02/08/2010,8,4,1.4
02/08/2010,8,5,8.9
02/08/2010,8,6,69.5
02/08/2010,8,7,30.7
02/08/2010,8,8,37.1
02/08/2010,8,9,32.5
02/08/2010,8,10,33.5
02/08/2010,8,11,47.0
02/08/2010,8,12,39.2
02/08/2010,8,13,31.2
02/08/2010,8,14,34.6
02/08/2010,8,15,33.7
02/08/2010,8,16,26.4
02/08/2010,8,17,28.7
02/08/2010,8,18,17.2
02/08/2010,8,19,12.7
02/08/2010,8,20,11.9
02/08/2010,8,21,7.6
02/08/2010,8,22,3.5
02/08/2010,8,23,0.6
03/08/2010,8,0,0.4
03/08/2010,8,1,4.7
03/08/2010,8,2,11.4
03/08/2010,8,3,26.2
03/08/2010,8,4,39.4
03/08/2010,8,5,77.4
03/08/2010,8,6,140.9
03/08/2010,8,7,132.8
03/08/2010,8,8,120.0
03/08/2010,8,9,76.8
03/08/2010,8,10,29.9
03/08/2010,8,11,29.2
03/08/2010,8,12,27.5
03/08/2010,8,13,26.6
03/08/2010,8,14,26.6
03/08/2010,8,15,26.5
03/08/2010,8,16,26.5
03/08/2010,8,17,15.9
03/08/2010,8,18,15.1
03/08/2010,8,19,10.6
03/08/2010,8,20,7.7
03/08/2010,8,21,6.1
03/08/2010,8,22,4.5
03/08/2010,8,23,1.5
04/08/2010,8,0,0.3
04/08/2010,8,1,0.4
04/08/2010,8,2,0.2
04/08/2010,8,3,1.6
04/08/2010,8,4,1.5
04/08/2010,8,5,6.4
04/08/2010,8,6,23.0
04/08/2010,8,7,39.3
04/08/2010,8,8,29.4
04/08/2010,8,9,17.4
04/08/2010,8,10,18.2
04/08/2010,8,11,12.9
04/08/2010,8,12,14.4
04/08/2010,8,13,14.9
04/08/2010,8,14,19.6
04/08/2010,8,15,21.7
04/08/2010,8,16,18.4
04/08/2010,8,17,15.3
04/08/2010,8,18,17.5
04/08/2010,8,19,7.5
04/08/2010,8,20,4.2
04/08/2010,8,21,2.3
04/08/2010,8,22,1.7
04/08/2010,8,23,0.5
05/08/2010,8,0,0.0
05/08/2010,8,1,0.0
05/08/2010,8,2,0.0
05/08/2010,8,3,0.1
05/08/2010,8,4,1.3
05/08/2010,8,5,5.4
05/08/2010,8,6,15.7
05/08/2010,8,7,25.5
05/08/2010,8,8,29.1
05/08/2010,8,9,25.8
05/08/2010,8,10,23.5
05/08/2010,8,11,30.0
05/08/2010,8,12,21.8
05/08/2010,8,13,20.5
05/08/2010,8,14,23.0
05/08/2010,8,15,34.7
05/08/2010,8,16,22.3
05/08/2010,8,17,26.9
05/08/2010,8,18,23.9
05/08/2010,8,19,14.8
05/08/2010,8,20,14.3
05/08/2010,8,21,19.9
05/08/2010,8,22,16.9
05/08/2010,8,23,27.4
06/08/2010,8,0,23.1
06/08/2010,8,1,16.2
06/08/2010,8,2,12.6
06/08/2010,8,3,22.3
06/08/2010,8,4,37.1
06/08/2010,8,5,65.4
06/08/2010,8,6,82.9
06/08/2010,8,7,75.2
06/08/2010,8,8,64.6
06/08/2010,8,9,75.8
06/08/2010,8,10,70.7
06/08/2010,8,11,96.4
06/08/2010,8,12,128.4
06/08/2010,8,13,61.9
06/08/2010,8,14,41.2
06/08/2010,8,15,71.4
06/08/2010,8,16,57.4
06/08/2010,8,17,42.1
06/08/2010,8,18,33.3
06/08/2010,8,19,27.4
06/08/2010,8,20,29.4
06/08/2010,8,21,22.2
06/08/2010,8,22,15.8
06/08/2010,8,23,5.8
07/08/2010,8,0,12.5
07/08/2010,8,1,7.4
07/08/2010,8,2,1.9
07/08/2010,8,3,1.9
07/08/2010,8,4,18.3
07/08/2010,8,5,21.3
07/08/2010,8,6,13.8
07/08/2010,8,7,16.9
07/08/2010,8,8,25.4
07/08/2010,8,9,31.0
07/08/2010,8,10,29.9
07/08/2010,8,11,21.5
07/08/2010,8,12,20.4
07/08/2010,8,13,17.5
07/08/2010,8,14,16.8
07/08/2010,8,15,18.1
07/08/2010,8,16,17.7
07/08/2010,8,17,15.7
07/08/2010,8,18,11.7
07/08/2010,8,19,11.3
07/08/2010,8,20,7.2
07/08/2010,8,21,3.9
07/08/2010,8,22,3.4
07/08/2010,8,23,3.5
08/08/2010,8,0,2.7
08/08/2010,8,1,2.6
08/08/2010,8,2,2.2
08/08/2010,8,3,1.6
08/08/2010,8,4,1.4
08/08/2010,8,5,1.4
08/08/2010,8,6,3.0
08/08/2010,8,7,3.5
08/08/2010,8,8,6.6
08/08/2010,8,9,6.5
08/08/2010,8,10,10.4
08/08/2010,8,11,14.8
08/08/2010,8,12,20.9
08/08/2010,8,13,15.7
08/08/2010,8,14,14.2
08/08/2010,8,15,13.7
08/08/2010,8,16,14.0
08/08/2010,8,17,14.1
08/08/2010,8,18,8.2
08/08/2010,8,19,8.1
08/08/2010,8,20,0.2
08/08/2010,8,21,1.8
08/08/2010,8,22,12.8
08/08/2010,8,23,14.1
09/08/2010,8,0,21.9
09/08/2010,8,1,35.2
09/08/2010,8,2,16.2
09/08/2010,8,3,16.6
09/08/2010,8,4,51.6
09/08/2010,8,5,79.8
09/08/2010,8,6,107.8
09/08/2010,8,7,139.8
09/08/2010,8,8,124.3
09/08/2010,8,9,105.7
09/08/2010,8,10,100.4
09/08/2010,8,11,83.4
09/08/2010,8,12,105.2
09/08/2010,8,13,78.3
09/08/2010,8,14,42.0
09/08/2010,8,15,34.2
09/08/2010,8,16,34.9
09/08/2010,8,17,25.1
09/08/2010,8,18,23.6
09/08/2010,8,19,37.1
09/08/2010,8,20,10.3
09/08/2010,8,21,9.2
09/08/2010,8,22,21.7
09/08/2010,8,23,9.7
10/08/2010,8,0,6.9
10/08/2010,8,1,8.1
10/08/2010,8,2,11.7
10/08/2010,8,3,19.0
10/08/2010,8,4,8.2
10/08/2010,8,5,16.8
10/08/2010,8,6,49.0
10/08/2010,8,7,83.9
10/08/2010,8,8,54.1
10/08/2010,8,9,34.6
10/08/2010,8,10,37.1
10/08/2010,8,11,35.5
10/08/2010,8,12,21.7
10/08/2010,8,13,21.9
10/08/2010,8,14,24.6
