Date,Month,Hour Taken,Pollutant
01/12/2018,12,0,8.7
01/12/2018,12,1,8.4
01/12/2018,12,2,26.3
01/12/2018,12,3,19.0
01/12/2018,12,4,12.0
01/12/2018,12,5,10.9
01/12/2018,12,6,21.2
01/12/2018,12,7,18.4
01/12/2018,12,8,22.9
01/12/2018,12,9,30.1
01/12/2018,12,10,44.9
01/12/2018,12,11,46.9
01/12/2018,12,12,53.6
01/12/2018,12,13,78.1
01/12/2018,12,14,76.9
01/12/2018,12,15,53.8
01/12/2018,12,16,75.6
01/12/2018,12,17,102.1
01/12/2018,12,18,61.7
01/12/2018,12,19,43.4
01/12/2018,12,20,34.7
01/12/2018,12,21,24.7
01/12/2018,12,22,27.2
01/12/2018,12,23,33.7
02/12/2018,12,0,39.5
02/12/2018,12,1,29.6
02/12/2018,12,2,24.4
02/12/2018,12,3,17.9
02/12/2018,12,4,7.8
02/12/2018,12,5,22.3
02/12/2018,12,6,44.3
02/12/2018,12,7,44.0
02/12/2018,12,8,27.2
02/12/2018,12,9,27.4
02/12/2018,12,10,38.1
02/12/2018,12,11,23.1
02/12/2018,12,12,32.5
02/12/2018,12,13,38.5
02/12/2018,12,14,33.0
02/12/2018,12,15,47.2
02/12/2018,12,16,21.1
02/12/2018,12,17,20.5
02/12/2018,12,18,16.0
02/12/2018,12,19,13.2
02/12/2018,12,20,15.9
02/12/2018,12,21,6.0
02/12/2018,12,22,4.5
02/12/2018,12,23,4.1
03/12/2018,12,0,2.4
03/12/2018,12,1,0.6
03/12/2018,12,2,0.4
03/12/2018,12,3,0.1
03/12/2018,12,4,1.2
03/12/2018,12,5,10.4
03/12/2018,12,6,20.7
03/12/2018,12,7,9.5
03/12/2018,12,8,13.0
03/12/2018,12,9,18.7
03/12/2018,12,10,12.8
03/12/2018,12,11,22.3
03/12/2018,12,12,15.1
03/12/2018,12,13,15.5
03/12/2018,12,14,15.9
03/12/2018,12,15,22.2
03/12/2018,12,16,17.5
03/12/2018,12,17,9.4
03/12/2018,12,18,6.0
03/12/2018,12,19,20.9
03/12/2018,12,20,6.9
03/12/2018,12,21,41.7
03/12/2018,12,22,53.0
03/12/2018,12,23,3.4
04/12/2018,12,0,1.1
04/12/2018,12,1,0.4
04/12/2018,12,2,6.2
04/12/2018,12,3,3.0
04/12/2018,12,4,15.0
04/12/2018,12,5,133.5
04/12/2018,12,6,125.5
04/12/2018,12,7,192.4
04/12/2018,12,8,301.9
04/12/2018,12,9,353.1
04/12/2018,12,10,180.4
04/12/2018,12,11,105.7
04/12/2018,12,12,160.8
04/12/2018,12,13,165.2
04/12/2018,12,14,201.1
04/12/2018,12,15,211.8
04/12/2018,12,16,171.9
04/12/2018,12,17,221.8
04/12/2018,12,18,168.0
04/12/2018,12,19,120.1
04/12/2018,12,20,89.5
04/12/2018,12,21,69.8
04/12/2018,12,22,34.4
04/12/2018,12,23,15.5
05/12/2018,12,0,6.2
05/12/2018,12,1,1.6
05/12/2018,12,2,0.4
05/12/2018,12,3,1.1
05/12/2018,12,4,2.7
05/12/2018,12,5,13.1
05/12/2018,12,6,30.4
05/12/2018,12,7,41.9
05/12/2018,12,8,71.2
05/12/2018,12,9,73.5
05/12/2018,12,10,54.3
05/12/2018,12,11,63.6
05/12/2018,12,12,76.5
05/12/2018,12,13,92.7
05/12/2018,12,14,110.5
05/12/2018,12,15,123.8
05/12/2018,12,16,148.3
05/12/2018,12,17,192.7
05/12/2018,12,18,182.0
05/12/2018,12,19,39.4
05/12/2018,12,20,15.8
05/12/2018,12,21,8.5
05/12/2018,12,22,7.8
05/12/2018,12,23,9.4
06/12/2018,12,0,0.5
06/12/2018,12,1,1.4
06/12/2018,12,2,6.5
06/12/2018,12,3,9.8
06/12/2018,12,4,15.7
06/12/2018,12,5,39.1
06/12/2018,12,6,96.2
06/12/2018,12,7,109.2
06/12/2018,12,8,110.5
06/12/2018,12,9,72.0
06/12/2018,12,10,47.5
