Date,Month,Hour Taken,Pollutant
01/02/2017,2,0,19.7
01/02/2017,2,1,46.0
01/02/2017,2,2,54.4
01/02/2017,2,3,9.1
01/02/2017,2,4,10.8
01/02/2017,2,5,26.9
01/02/2017,2,6,66.9
01/02/2017,2,7,71.9
01/02/2017,2,8,99.8
01/02/2017,2,9,114.7
01/02/2017,2,10,76.3
01/02/2017,2,11,74.6
01/02/2017,2,12,72.4
01/02/2017,2,13,76.3
01/02/2017,2,14,60.4
01/02/2017,2,15,68.5
01/02/2017,2,16,69.2
01/02/2017,2,17,50.8
01/02/2017,2,18,49.1
01/02/2017,2,19,43.6
01/02/2017,2,20,36.7
01/02/2017,2,21,42.2
01/02/2017,2,22,38.4
01/02/2017,2,23,26.0
02/02/2017,2,0,16.7
02/02/2017,2,1,5.1
02/02/2017,2,2,3.4
02/02/2017,2,3,1.1
02/02/2017,2,4,2.6
02/02/2017,2,5,15.8
02/02/2017,2,6,31.4
02/02/2017,2,7,42.6
02/02/2017,2,8,56.4
02/02/2017,2,9,60.0
02/02/2017,2,10,45.6
02/02/2017,2,11,49.2
02/02/2017,2,12,51.5
02/02/2017,2,13,51.0
02/02/2017,2,14,52.4
02/02/2017,2,15,52.4
02/02/2017,2,16,45.7
02/02/2017,2,17,41.7
02/02/2017,2,18,40.6
02/02/2017,2,19,32.1
02/02/2017,2,20,25.9
02/02/2017,2,21,26.4
02/02/2017,2,22,21.0
02/02/2017,2,23,18.6
03/02/2017,2,0,9.1
03/02/2017,2,1,4.6
03/02/2017,2,2,8.8
03/02/2017,2,3,2.6
03/02/2017,2,4,12.1
03/02/2017,2,5,41.3
03/02/2017,2,6,66.7
03/02/2017,2,7,98.3
03/02/2017,2,8,114.3
03/02/2017,2,9,102.1
03/02/2017,2,10,73.9
03/02/2017,2,11,76.0
03/02/2017,2,12,61.6
03/02/2017,2,13,49.0
03/02/2017,2,14,38.1
03/02/2017,2,15,39.3
03/02/2017,2,16,45.2
03/02/2017,2,17,33.2
03/02/2017,2,18,33.8
03/02/2017,2,19,25.0
03/02/2017,2,20,17.5
03/02/2017,2,21,21.2
03/02/2017,2,22,4.8
03/02/2017,2,23,3.4
04/02/2017,2,0,5.2
04/02/2017,2,1,8.7
04/02/2017,2,2,11.7
04/02/2017,2,3,5.8
04/02/2017,2,4,2.8
04/02/2017,2,5,10.8
04/02/2017,2,6,16.3
04/02/2017,2,7,42.6
04/02/2017,2,8,77.5
04/02/2017,2,9,115.8
04/02/2017,2,10,76.7
04/02/2017,2,11,64.9
04/02/2017,2,12,92.8
04/02/2017,2,13,59.2
04/02/2017,2,14,75.7
04/02/2017,2,15,84.3
04/02/2017,2,16,73.1
04/02/2017,2,17,73.0
04/02/2017,2,18,56.2
04/02/2017,2,19,50.6
04/02/2017,2,20,30.0
04/02/2017,2,21,17.4
04/02/2017,2,22,16.4
04/02/2017,2,23,12.0
05/02/2017,2,0,13.3
05/02/2017,2,1,17.8
05/02/2017,2,2,26.4
05/02/2017,2,3,21.7
05/02/2017,2,4,22.0
05/02/2017,2,5,17.2
05/02/2017,2,6,21.6
05/02/2017,2,7,53.9
05/02/2017,2,8,47.1
05/02/2017,2,9,70.8
05/02/2017,2,10,63.9
05/02/2017,2,11,71.7
05/02/2017,2,12,69.3
05/02/2017,2,13,54.8
05/02/2017,2,14,35.4
05/02/2017,2,15,28.2
05/02/2017,2,16,49.0
05/02/2017,2,17,61.3
05/02/2017,2,18,97.8
05/02/2017,2,19,39.9
05/02/2017,2,20,107.7
05/02/2017,2,21,64.5
05/02/2017,2,22,93.3
05/02/2017,2,23,33.5
06/02/2017,2,0,38.6
06/02/2017,2,1,19.6
06/02/2017,2,2,6.9
06/02/2017,2,3,13.9
06/02/2017,2,4,10.8
06/02/2017,2,5,24.8
06/02/2017,2,6,84.5
06/02/2017,2,7,163.8
06/02/2017,2,8,150.8
06/02/2017,2,9,144.4
06/02/2017,2,10,94.2
06/02/2017,2,11,72.0
06/02/2017,2,12,72.5
06/02/2017,2,13,65.9
06/02/2017,2,14,62.8
06/02/2017,2,15,60.5
06/02/2017,2,16,58.2
06/02/2017,2,17,45.4
06/02/2017,2,18,39.0
06/02/2017,2,19,29.4
06/02/2017,2,20,19.9
06/02/2017,2,21,15.9
06/02/2017,2,22,9.7
06/02/2017,2,23,8.1
07/02/2017,2,0,7.3
07/02/2017,2,1,7.0
07/02/2017,2,2,5.5
07/02/2017,2,3,16.9
07/02/2017,2,4,11.6
