Date,Month,Hour Taken,Pollutant
01/01/2013,1,0,2.8
01/01/2013,1,1,3.5
01/01/2013,1,2,2.6
01/01/2013,1,3,1.9
01/01/2013,1,4,2.5
01/01/2013,1,5,1.4
01/01/2013,1,6,0.8
01/01/2013,1,7,1.0
01/01/2013,1,8,1.0
01/01/2013,1,9,1.7
01/01/2013,1,10,3.1
01/01/2013,1,11,3.7
01/01/2013,1,12,6.1
01/01/2013,1,13,8.8
01/01/2013,1,14,11.9
01/01/2013,1,15,8.4
01/01/2013,1,16,8.0
01/01/2013,1,17,9.5
01/01/2013,1,18,7.1
01/01/2013,1,19,6.5
01/01/2013,1,20,7.2
01/01/2013,1,21,4.8
01/01/2013,1,22,2.9
01/01/2013,1,23,1.4
02/01/2013,1,0,0.9
02/01/2013,1,1,0.8
02/01/2013,1,2,0.5
02/01/2013,1,3,0.3
02/01/2013,1,4,0.3
02/01/2013,1,5,3.6
02/01/2013,1,6,43.0
02/01/2013,1,7,88.8
02/01/2013,1,8,119.0
02/01/2013,1,9,90.6
02/01/2013,1,10,124.6
02/01/2013,1,11,164.0
02/01/2013,1,12,216.6
02/01/2013,1,13,120.9
02/01/2013,1,14,26.6
02/01/2013,1,15,28.3
02/01/2013,1,16,32.6
02/01/2013,1,17,30.8
02/01/2013,1,18,26.2
02/01/2013,1,19,21.3
02/01/2013,1,20,22.4
02/01/2013,1,21,29.9
02/01/2013,1,22,35.3
02/01/2013,1,23,35.4
03/01/2013,1,0,1.0
03/01/2013,1,1,0.3
03/01/2013,1,2,0.8
03/01/2013,1,3,0.3
03/01/2013,1,4,0.3
03/01/2013,1,5,2.4
03/01/2013,1,6,6.1
03/01/2013,1,7,14.7
03/01/2013,1,8,33.6
03/01/2013,1,9,22.2
03/01/2013,1,10,45.4
03/01/2013,1,11,123.4
03/01/2013,1,12,142.6
03/01/2013,1,13,115.6
03/01/2013,1,14,83.1
03/01/2013,1,15,72.9
03/01/2013,1,16,90.6
03/01/2013,1,17,50.7
03/01/2013,1,18,54.0
03/01/2013,1,19,25.5
03/01/2013,1,20,33.8
03/01/2013,1,21,46.3
03/01/2013,1,22,16.6
03/01/2013,1,23,23.7
04/01/2013,1,0,3.5
04/01/2013,1,1,2.3
04/01/2013,1,2,0.8
04/01/2013,1,3,0.3
04/01/2013,1,4,8.1
04/01/2013,1,5,23.7
04/01/2013,1,6,8.7
04/01/2013,1,7,23.3
04/01/2013,1,8,74.4
04/01/2013,1,9,104.9
04/01/2013,1,10,88.4
04/01/2013,1,11,52.8
04/01/2013,1,12,43.1
04/01/2013,1,13,41.1
04/01/2013,1,14,74.6
04/01/2013,1,15,125.1
04/01/2013,1,16,146.6
04/01/2013,1,17,86.3
04/01/2013,1,18,115.3
04/01/2013,1,19,112.0
04/01/2013,1,20,83.6
04/01/2013,1,21,98.0
04/01/2013,1,22,78.0
04/01/2013,1,23,51.3
05/01/2013,1,0,16.6
05/01/2013,1,1,16.9
05/01/2013,1,2,10.7
05/01/2013,1,3,10.5
05/01/2013,1,4,12.4
05/01/2013,1,5,31.9
05/01/2013,1,6,48.6
05/01/2013,1,7,80.8
05/01/2013,1,8,61.0
05/01/2013,1,9,114.4
05/01/2013,1,10,99.1
05/01/2013,1,11,101.7
05/01/2013,1,12,88.0
05/01/2013,1,13,122.1
05/01/2013,1,14,120.0
05/01/2013,1,15,71.1
05/01/2013,1,16,87.0
05/01/2013,1,17,129.4
05/01/2013,1,18,84.7
05/01/2013,1,19,45.7
05/01/2013,1,20,24.2
05/01/2013,1,21,28.8
05/01/2013,1,22,19.4
05/01/2013,1,23,27.1
06/01/2013,1,0,24.7
06/01/2013,1,1,14.3
06/01/2013,1,2,11.5
06/01/2013,1,3,1.5
06/01/2013,1,4,4.6
06/01/2013,1,5,16.2
06/01/2013,1,6,7.1
06/01/2013,1,7,28.4
06/01/2013,1,8,25.9
06/01/2013,1,9,57.4
06/01/2013,1,10,54.9
06/01/2013,1,11,87.9
06/01/2013,1,12,76.4
06/01/2013,1,13,89.7
06/01/2013,1,14,66.3
06/01/2013,1,15,68.6
06/01/2013,1,16,53.7
06/01/2013,1,17,60.7
06/01/2013,1,18,69.5
06/01/2013,1,19,74.5
06/01/2013,1,20,68.2
06/01/2013,1,21,63.3
06/01/2013,1,22,60.1
06/01/2013,1,23,35.8
07/01/2013,1,0,34.1
07/01/2013,1,1,10.0
07/01/2013,1,2,6.6
07/01/2013,1,3,6.9
07/01/2013,1,4,13.2
07/01/2013,1,5,39.7
07/01/2013,1,6,97.5
07/01/2013,1,7,165.8
07/01/2013,1,8,188.2
07/01/2013,1,9,158.9
07/01/2013,1,10,124.4
07/01/2013,1,11,120.0
07/01/2013,1,12,135.4
07/01/2013,1,13,145.8
07/01/2013,1,14,143.2
07/01/2013,1,15,150.7
07/01/2013,1,16,127.4
07/01/2013,1,17,123.6
07/01/2013,1,18,112.1
07/01/2013,1,19,73.9
07/01/2013,1,20,57.1
07/01/2013,1,21,51.6
07/01/2013,1,22,43.6
07/01/2013,1,23,34.0
08/01/2013,1,0,19.2
08/01/2013,1,1,14.4
08/01/2013,1,2,15.9
08/01/2013,1,3,4.5
08/01/2013,1,4,9.8
08/01/2013,1,5,33.6
08/01/2013,1,6,80.4
08/01/2013,1,7,126.9
08/01/2013,1,8,196.9
08/01/2013,1,9,174.3
08/01/2013,1,10,151.2
08/01/2013,1,11,286.8
08/01/2013,1,12,163.3
08/01/2013,1,13,175.7
08/01/2013,1,14,50.6
08/01/2013,1,15,69.4
08/01/2013,1,16,52.3
08/01/2013,1,17,78.6
08/01/2013,1,18,46.8
08/01/2013,1,19,25.1
08/01/2013,1,20,13.8
08/01/2013,1,21,4.5
08/01/2013,1,22,5.5
08/01/2013,1,23,2.9
09/01/2013,1,0,0.3
09/01/2013,1,1,0.1
09/01/2013,1,2,0.2
09/01/2013,1,3,1.1
09/01/2013,1,4,0.0
09/01/2013,1,5,52.2
09/01/2013,1,6,170.3
09/01/2013,1,7,347.0
09/01/2013,1,8,430.2
09/01/2013,1,9,459.5
09/01/2013,1,10,428.8
09/01/2013,1,11,343.4
09/01/2013,1,12,255.1
09/01/2013,1,13,238.8
09/01/2013,1,14,184.0
09/01/2013,1,15,167.7
09/01/2013,1,16,149.9
09/01/2013,1,17,138.1
09/01/2013,1,18,135.4
09/01/2013,1,19,126.7
09/01/2013,1,20,106.6
09/01/2013,1,21,101.9
09/01/2013,1,22,52.3
09/01/2013,1,23,83.1
10/01/2013,1,0,100.4
10/01/2013,1,1,60.3
10/01/2013,1,2,36.0
10/01/2013,1,3,21.9
10/01/2013,1,4,21.9
10/01/2013,1,5,56.6
10/01/2013,1,6,106.7
10/01/2013,1,7,166.7
10/01/2013,1,8,206.5
10/01/2013,1,9,195.4
10/01/2013,1,10,200.5
10/01/2013,1,11,147.9
10/01/2013,1,12,123.3
10/01/2013,1,13,95.1
10/01/2013,1,14,113.0
10/01/2013,1,15,111.9
10/01/2013,1,16,123.8
10/01/2013,1,17,83.5
10/01/2013,1,18,88.4
10/01/2013,1,19,81.8
10/01/2013,1,20,66.3
10/01/2013,1,21,56.3
10/01/2013,1,22,60.0
10/01/2013,1,23,77.3
11/01/2013,1,0,82.1
11/01/2013,1,1,83.9
11/01/2013,1,2,84.5
11/01/2013,1,3,89.6
11/01/2013,1,4,89.4
11/01/2013,1,5,93.4
11/01/2013,1,6,135.3
11/01/2013,1,7,177.3
11/01/2013,1,8,200.8
11/01/2013,1,9,192.9
11/01/2013,1,10,177.7
11/01/2013,1,11,164.0
11/01/2013,1,12,172.1
11/01/2013,1,13,158.9
11/01/2013,1,14,166.7
11/01/2013,1,15,144.6
11/01/2013,1,16,94.4
11/01/2013,1,17,86.0
11/01/2013,1,18,80.4
11/01/2013,1,19,38.7
11/01/2013,1,20,41.4
11/01/2013,1,21,41.9
11/01/2013,1,22,32.0
11/01/2013,1,23,26.4
12/01/2013,1,0,8.9
12/01/2013,1,1,3.9
12/01/2013,1,2,4.5
12/01/2013,1,3,2.4
12/01/2013,1,4,1.4
12/01/2013,1,5,3.5
12/01/2013,1,6,14.8
12/01/2013,1,7,9.3
12/01/2013,1,8,9.7
12/01/2013,1,9,6.5
12/01/2013,1,10,12.6
12/01/2013,1,11,23.0
12/01/2013,1,12,17.9
12/01/2013,1,13,11.8
12/01/2013,1,14,12.3
12/01/2013,1,15,12.5
12/01/2013,1,16,17.2
12/01/2013,1,17,12.8
12/01/2013,1,18,7.2
12/01/2013,1,19,7.8
12/01/2013,1,20,10.3
12/01/2013,1,21,7.1
12/01/2013,1,22,6.8
12/01/2013,1,23,10.4
13/01/2013,1,0,5.7
13/01/2013,1,1,4.7
13/01/2013,1,2,7.1
13/01/2013,1,3,4.3
13/01/2013,1,4,4.8
13/01/2013,1,5,17.3
13/01/2013,1,6,58.6
13/01/2013,1,7,74.4
13/01/2013,1,8,70.0
13/01/2013,1,9,95.4
13/01/2013,1,10,92.5
13/01/2013,1,11,63.3
13/01/2013,1,12,99.1
13/01/2013,1,13,121.6
13/01/2013,1,14,64.1
13/01/2013,1,15,62.7
13/01/2013,1,16,80.4
13/01/2013,1,17,58.0
13/01/2013,1,18,66.1
13/01/2013,1,19,51.4
13/01/2013,1,20,44.2
13/01/2013,1,21,30.3
13/01/2013,1,22,27.7
13/01/2013,1,23,19.4
14/01/2013,1,0,26.7
14/01/2013,1,1,7.1
14/01/2013,1,2,2.2
14/01/2013,1,3,2.5
14/01/2013,1,4,5.4
14/01/2013,1,5,32.3
14/01/2013,1,6,89.9
14/01/2013,1,7,89.5
14/01/2013,1,8,147.1
14/01/2013,1,9,170.5
14/01/2013,1,10,114.2
14/01/2013,1,11,22.1
14/01/2013,1,12,20.6
14/01/2013,1,13,16.0
