Date,Month,Hour Taken,Pollutant
01/07/2011,7,0,0.5
01/07/2011,7,1,0.3
01/07/2011,7,2,0.4
01/07/2011,7,3,0.3
01/07/2011,7,4,1.5
01/07/2011,7,5,5.1
01/07/2011,7,6,16.1
01/07/2011,7,7,23.8
01/07/2011,7,8,23.5
01/07/2011,7,9,27.0
01/07/2011,7,10,38.8
01/07/2011,7,11,29.1
01/07/2011,7,12,30.3
01/07/2011,7,13,28.7
01/07/2011,7,14,33.4
01/07/2011,7,15,29.5
01/07/2011,7,16,24.6
01/07/2011,7,17,17.8
01/07/2011,7,18,10.9
01/07/2011,7,19,9.1
01/07/2011,7,20,2.0
01/07/2011,7,21,0.0
01/07/2011,7,22,0.0
01/07/2011,7,23,1.1
02/07/2011,7,0,6.3
02/07/2011,7,1,6.7
02/07/2011,7,2,2.7
02/07/2011,7,3,6.1
02/07/2011,7,4,14.7
02/07/2011,7,5,33.6
02/07/2011,7,6,29.0
02/07/2011,7,7,20.6
02/07/2011,7,8,29.0
02/07/2011,7,9,47.6
02/07/2011,7,10,51.8
02/07/2011,7,11,33.7
02/07/2011,7,12,30.4
02/07/2011,7,13,13.4
02/07/2011,7,14,14.7
02/07/2011,7,15,18.1
02/07/2011,7,16,15.7
02/07/2011,7,17,13.6
02/07/2011,7,18,6.5
02/07/2011,7,19,3.6
02/07/2011,7,20,1.7
02/07/2011,7,21,0.2
02/07/2011,7,22,0.1
02/07/2011,7,23,0.1
03/07/2011,7,0,0.1
03/07/2011,7,1,0.1
03/07/2011,7,2,0.0
03/07/2011,7,3,0.1
03/07/2011,7,4,2.2
03/07/2011,7,5,20.8
03/07/2011,7,6,8.1
03/07/2011,7,7,6.0
03/07/2011,7,8,5.3
03/07/2011,7,9,12.1
03/07/2011,7,10,15.9
03/07/2011,7,11,15.5
03/07/2011,7,12,13.8
03/07/2011,7,13,22.4
03/07/2011,7,14,8.8
03/07/2011,7,15,5.3
03/07/2011,7,16,7.8
03/07/2011,7,17,4.4
03/07/2011,7,18,3.6
03/07/2011,7,19,1.5
03/07/2011,7,20,0.1
03/07/2011,7,21,0.0
03/07/2011,7,22,0.0
03/07/2011,7,23,0.0
04/07/2011,7,0,3.3
04/07/2011,7,1,0.4
04/07/2011,7,2,0.3
04/07/2011,7,3,0.6
04/07/2011,7,4,8.5
04/07/2011,7,5,48.0
04/07/2011,7,6,77.4
04/07/2011,7,7,93.5
04/07/2011,7,8,88.3
04/07/2011,7,9,59.9
04/07/2011,7,10,60.1
04/07/2011,7,11,50.3
04/07/2011,7,12,48.2
04/07/2011,7,13,43.6
04/07/2011,7,14,47.5
04/07/2011,7,15,57.9
04/07/2011,7,16,49.5
04/07/2011,7,17,30.9
04/07/2011,7,18,22.0
04/07/2011,7,19,18.5
04/07/2011,7,20,12.1
04/07/2011,7,21,11.7
04/07/2011,7,22,9.5
04/07/2011,7,23,3.8
05/07/2011,7,0,2.6
05/07/2011,7,1,1.8
05/07/2011,7,2,2.8
05/07/2011,7,3,4.2
05/07/2011,7,4,16.9
05/07/2011,7,5,33.1
05/07/2011,7,6,60.7
05/07/2011,7,7,67.1
05/07/2011,7,8,67.0
05/07/2011,7,9,56.0
05/07/2011,7,10,59.8
05/07/2011,7,11,52.3
05/07/2011,7,12,62.9
05/07/2011,7,13,57.2
05/07/2011,7,14,50.0
05/07/2011,7,15,60.4
05/07/2011,7,16,50.0
05/07/2011,7,17,48.2
05/07/2011,7,18,19.8
05/07/2011,7,19,12.1
05/07/2011,7,20,1.1
05/07/2011,7,21,4.1
05/07/2011,7,22,2.1
05/07/2011,7,23,0.1
06/07/2011,7,0,0.1
06/07/2011,7,1,0.8
06/07/2011,7,2,1.1
06/07/2011,7,3,5.8
06/07/2011,7,4,19.5
06/07/2011,7,5,57.4
06/07/2011,7,6,82.1
06/07/2011,7,7,102.7
06/07/2011,7,8,77.4
06/07/2011,7,9,80.9
06/07/2011,7,10,54.8
06/07/2011,7,11,38.3
06/07/2011,7,12,30.5
06/07/2011,7,13,29.2
06/07/2011,7,14,39.1
06/07/2011,7,15,61.7
06/07/2011,7,16,63.0
06/07/2011,7,17,49.7
06/07/2011,7,18,38.3
06/07/2011,7,19,23.6
06/07/2011,7,20,17.0
06/07/2011,7,21,14.6
06/07/2011,7,22,13.7
06/07/2011,7,23,5.4
07/07/2011,7,0,2.8
07/07/2011,7,1,2.4
07/07/2011,7,2,1.6
07/07/2011,7,3,3.3
07/07/2011,7,4,15.6
07/07/2011,7,5,31.8
07/07/2011,7,6,74.5
07/07/2011,7,7,77.6
07/07/2011,7,8,70.2
07/07/2011,7,9,65.0
07/07/2011,7,10,53.2
07/07/2011,7,11,72.4
07/07/2011,7,12,48.4
07/07/2011,7,13,73.3
07/07/2011,7,14,61.5
07/07/2011,7,15,71.2
07/07/2011,7,16,43.3
07/07/2011,7,17,39.9
07/07/2011,7,18,19.5
07/07/2011,7,19,13.9
07/07/2011,7,20,29.9
07/07/2011,7,21,6.4
07/07/2011,7,22,13.6
07/07/2011,7,23,18.0
08/07/2011,7,0,7.7
08/07/2011,7,1,5.7
08/07/2011,7,2,3.4
08/07/2011,7,3,15.7
08/07/2011,7,4,33.7
08/07/2011,7,5,53.8
08/07/2011,7,6,76.5
08/07/2011,7,7,69.4
08/07/2011,7,8,65.3
08/07/2011,7,9,72.6
08/07/2011,7,10,67.8
