Date,Month,Hour Taken,Pollutant
01/06/2014,6,0,2.8
01/06/2014,6,1,1.2
01/06/2014,6,2,2.3
01/06/2014,6,3,4.6
01/06/2014,6,4,7.0
01/06/2014,6,5,25.1
01/06/2014,6,6,17.9
01/06/2014,6,7,11.1
01/06/2014,6,8,16.9
01/06/2014,6,9,23.7
01/06/2014,6,10,16.5
01/06/2014,6,11,31.1
01/06/2014,6,12,19.3
01/06/2014,6,13,15.7
01/06/2014,6,14,7.9
01/06/2014,6,15,3.8
01/06/2014,6,16,7.0
01/06/2014,6,17,12.9
01/06/2014,6,18,11.0
01/06/2014,6,19,10.6
01/06/2014,6,20,6.6
01/06/2014,6,21,1.0
01/06/2014,6,22,0.4
01/06/2014,6,23,3.7
02/06/2014,6,0,2.4
02/06/2014,6,1,3.6
02/06/2014,6,2,3.0
02/06/2014,6,3,8.7
02/06/2014,6,4,27.8
02/06/2014,6,5,74.1
02/06/2014,6,6,91.4
02/06/2014,6,7,95.9
02/06/2014,6,8,83.7
02/06/2014,6,9,87.1
02/06/2014,6,10,66.6
02/06/2014,6,11,68.4
02/06/2014,6,12,28.7
02/06/2014,6,13,38.4
02/06/2014,6,14,42.9
02/06/2014,6,15,34.0
02/06/2014,6,16,34.7
02/06/2014,6,17,19.1
02/06/2014,6,18,11.1
02/06/2014,6,19,8.1
02/06/2014,6,20,0.2
02/06/2014,6,21,2.2
02/06/2014,6,22,3.9
02/06/2014,6,23,7.3
03/06/2014,6,0,0.1
03/06/2014,6,1,0.6
03/06/2014,6,2,7.6
03/06/2014,6,3,5.9
03/06/2014,6,4,13.4
03/06/2014,6,5,22.9
03/06/2014,6,6,32.7
03/06/2014,6,7,40.3
03/06/2014,6,8,32.8
03/06/2014,6,9,28.4
03/06/2014,6,10,25.3
03/06/2014,6,11,29.2
03/06/2014,6,12,31.5
03/06/2014,6,13,19.1
03/06/2014,6,14,18.9
03/06/2014,6,15,24.5
03/06/2014,6,16,26.2
03/06/2014,6,17,17.0
03/06/2014,6,18,10.1
03/06/2014,6,19,0.6
03/06/2014,6,20,0.0
03/06/2014,6,21,0.0
03/06/2014,6,22,0.0
03/06/2014,6,23,0.0
04/06/2014,6,0,0.0
04/06/2014,6,1,0.8
04/06/2014,6,2,0.0
04/06/2014,6,3,0.1
04/06/2014,6,4,0.1
04/06/2014,6,5,2.4
04/06/2014,6,6,4.6
04/06/2014,6,7,27.9
04/06/2014,6,8,16.5
04/06/2014,6,9,9.0
04/06/2014,6,10,6.3
04/06/2014,6,11,17.0
04/06/2014,6,12,15.6
04/06/2014,6,13,14.7
04/06/2014,6,14,18.0
04/06/2014,6,15,15.4
04/06/2014,6,16,15.2
04/06/2014,6,17,10.2
04/06/2014,6,18,6.5
04/06/2014,6,19,3.0
04/06/2014,6,20,2.3
04/06/2014,6,21,2.9
04/06/2014,6,22,1.6
04/06/2014,6,23,0.0
05/06/2014,6,0,1.0
05/06/2014,6,1,0.0
05/06/2014,6,2,0.0
05/06/2014,6,3,0.0
05/06/2014,6,4,1.8
05/06/2014,6,5,5.9
05/06/2014,6,6,28.6
05/06/2014,6,7,27.8
05/06/2014,6,8,43.1
05/06/2014,6,9,24.3
05/06/2014,6,10,22.2
05/06/2014,6,11,22.6
05/06/2014,6,12,23.7
05/06/2014,6,13,21.7
05/06/2014,6,14,33.1
05/06/2014,6,15,21.6
05/06/2014,6,16,18.9
05/06/2014,6,17,17.5
05/06/2014,6,18,14.7
05/06/2014,6,19,8.4
05/06/2014,6,20,8.7
05/06/2014,6,21,6.7
05/06/2014,6,22,2.3
05/06/2014,6,23,5.6
06/06/2014,6,0,7.3
06/06/2014,6,1,2.9
06/06/2014,6,2,4.6
06/06/2014,6,3,8.8
06/06/2014,6,4,29.4
06/06/2014,6,5,60.9
06/06/2014,6,6,108.7
06/06/2014,6,7,85.6
06/06/2014,6,8,73.5
06/06/2014,6,9,62.2
06/06/2014,6,10,61.5
06/06/2014,6,11,51.6
06/06/2014,6,12,50.9
06/06/2014,6,13,44.8
06/06/2014,6,14,54.2
06/06/2014,6,15,35.4
06/06/2014,6,16,16.1
06/06/2014,6,17,22.6
06/06/2014,6,18,19.1
06/06/2014,6,19,10.8
06/06/2014,6,20,7.0
06/06/2014,6,21,4.3
06/06/2014,6,22,0.5
06/06/2014,6,23,2.0
07/06/2014,6,0,0.5
07/06/2014,6,1,1.3
07/06/2014,6,2,0.5
07/06/2014,6,3,1.0
07/06/2014,6,4,3.4
07/06/2014,6,5,13.5
07/06/2014,6,6,24.8
07/06/2014,6,7,35.5
07/06/2014,6,8,17.5
07/06/2014,6,9,32.1
07/06/2014,6,10,57.4
07/06/2014,6,11,59.7
07/06/2014,6,12,56.1
07/06/2014,6,13,54.5
07/06/2014,6,14,26.0
07/06/2014,6,15,32.5
07/06/2014,6,16,13.5
07/06/2014,6,17,6.9
07/06/2014,6,18,3.3
07/06/2014,6,19,3.8
07/06/2014,6,20,5.6
07/06/2014,6,21,6.9
07/06/2014,6,22,6.5
07/06/2014,6,23,13.3
08/06/2014,6,0,13.3
08/06/2014,6,1,9.4
08/06/2014,6,2,3.7
08/06/2014,6,3,4.0
08/06/2014,6,4,5.5
08/06/2014,6,5,9.2
08/06/2014,6,6,12.4
