Date,Month,Hour Taken,Pollutant
01/03/2012,3,0,49.0
01/03/2012,3,1,8.6
01/03/2012,3,2,24.3
01/03/2012,3,3,27.0
01/03/2012,3,4,27.0
01/03/2012,3,5,48.8
01/03/2012,3,6,106.2
01/03/2012,3,7,177.9
01/03/2012,3,8,217.1
01/03/2012,3,9,195.0
01/03/2012,3,10,116.6
01/03/2012,3,11,34.2
01/03/2012,3,12,64.4
01/03/2012,3,13,51.8
01/03/2012,3,14,63.2
01/03/2012,3,15,82.6
01/03/2012,3,16,109.3
01/03/2012,3,17,134.5
01/03/2012,3,18,142.7
01/03/2012,3,19,104.8
01/03/2012,3,20,63.3
01/03/2012,3,21,89.8
01/03/2012,3,22,68.5
01/03/2012,3,23,96.0
02/03/2012,3,0,84.4
02/03/2012,3,1,58.1
02/03/2012,3,2,43.4
02/03/2012,3,3,28.9
02/03/2012,3,4,29.0
02/03/2012,3,5,60.0
02/03/2012,3,6,109.1
02/03/2012,3,7,144.7
02/03/2012,3,8,174.5
02/03/2012,3,9,154.6
02/03/2012,3,10,110.7
02/03/2012,3,11,102.5
02/03/2012,3,12,81.1
02/03/2012,3,13,87.4
02/03/2012,3,14,87.6
02/03/2012,3,15,93.6
02/03/2012,3,16,76.1
02/03/2012,3,17,80.6
02/03/2012,3,18,77.7
02/03/2012,3,19,67.9
02/03/2012,3,20,35.2
02/03/2012,3,21,24.0
02/03/2012,3,22,15.6
02/03/2012,3,23,11.9
03/03/2012,3,0,9.2
03/03/2012,3,1,8.0
03/03/2012,3,2,12.0
03/03/2012,3,3,8.3
03/03/2012,3,4,11.3
03/03/2012,3,5,21.0
03/03/2012,3,6,27.2
03/03/2012,3,7,42.9
03/03/2012,3,8,54.8
03/03/2012,3,9,93.8
03/03/2012,3,10,87.7
03/03/2012,3,11,61.4
03/03/2012,3,12,42.5
03/03/2012,3,13,39.3
03/03/2012,3,14,26.8
03/03/2012,3,15,36.4
03/03/2012,3,16,46.2
03/03/2012,3,17,73.0
03/03/2012,3,18,84.2
03/03/2012,3,19,67.3
03/03/2012,3,20,39.2
03/03/2012,3,21,20.7
03/03/2012,3,22,37.5
