Date,Month,Hour Taken,Pollutant
01/05/2013,5,0,9.5
01/05/2013,5,1,11.0
01/05/2013,5,2,18.8
01/05/2013,5,3,38.7
01/05/2013,5,4,24.4
01/05/2013,5,5,110.0
01/05/2013,5,6,155.5
01/05/2013,5,7,151.9
01/05/2013,5,8,70.0
01/05/2013,5,9,56.3
01/05/2013,5,10,30.0
01/05/2013,5,11,26.3
01/05/2013,5,12,23.2
01/05/2013,5,13,26.1
01/05/2013,5,14,29.2
01/05/2013,5,15,27.2
01/05/2013,5,16,29.0
01/05/2013,5,17,18.5
01/05/2013,5,18,7.0
01/05/2013,5,19,1.3
01/05/2013,5,20,1.6
01/05/2013,5,21,0.0
01/05/2013,5,22,0.0
01/05/2013,5,23,0.0
02/05/2013,5,0,0.0
02/05/2013,5,1,0.0
02/05/2013,5,2,0.1
02/05/2013,5,3,14.4
02/05/2013,5,4,71.6
02/05/2013,5,5,138.0
02/05/2013,5,6,103.7
02/05/2013,5,7,72.8
02/05/2013,5,8,60.2
02/05/2013,5,9,51.6
02/05/2013,5,10,43.4
02/05/2013,5,11,33.5
02/05/2013,5,12,36.1
02/05/2013,5,13,36.8
02/05/2013,5,14,36.0
02/05/2013,5,15,32.7
02/05/2013,5,16,12.9
02/05/2013,5,17,23.1
02/05/2013,5,18,10.0
02/05/2013,5,19,3.7
02/05/2013,5,20,2.9
02/05/2013,5,21,27.3
02/05/2013,5,22,9.5
02/05/2013,5,23,4.6
03/05/2013,5,0,1.5
03/05/2013,5,1,0.5
03/05/2013,5,2,5.0
03/05/2013,5,3,5.9
03/05/2013,5,4,15.1
03/05/2013,5,5,32.1
03/05/2013,5,6,93.1
03/05/2013,5,7,82.6
03/05/2013,5,8,84.3
03/05/2013,5,9,58.9
03/05/2013,5,10,91.9
03/05/2013,5,11,55.3
03/05/2013,5,12,49.5
03/05/2013,5,13,53.9
03/05/2013,5,14,41.8
03/05/2013,5,15,47.4
03/05/2013,5,16,53.7
03/05/2013,5,17,33.4
03/05/2013,5,18,26.3
03/05/2013,5,19,21.4
03/05/2013,5,20,13.3
03/05/2013,5,21,4.4
03/05/2013,5,22,2.6
03/05/2013,5,23,1.3
04/05/2013,5,0,0.3
04/05/2013,5,1,0.5
04/05/2013,5,2,0.3
04/05/2013,5,3,0.0
04/05/2013,5,4,0.0
04/05/2013,5,5,6.7
04/05/2013,5,6,7.3
04/05/2013,5,7,14.3
04/05/2013,5,8,15.6
04/05/2013,5,9,22.7
04/05/2013,5,10,25.7
04/05/2013,5,11,26.2
04/05/2013,5,12,20.6
04/05/2013,5,13,15.2
04/05/2013,5,14,17.4
04/05/2013,5,15,20.0
04/05/2013,5,16,17.0
04/05/2013,5,17,20.4
04/05/2013,5,18,28.1
04/05/2013,5,19,24.8
04/05/2013,5,20,13.7
04/05/2013,5,21,17.9
04/05/2013,5,22,17.0
04/05/2013,5,23,20.1
05/05/2013,5,0,9.5
05/05/2013,5,1,16.0
05/05/2013,5,2,15.6
05/05/2013,5,3,6.2
05/05/2013,5,4,5.5
05/05/2013,5,5,2.9
05/05/2013,5,6,4.9
05/05/2013,5,7,4.5
05/05/2013,5,8,8.4
05/05/2013,5,9,15.8
05/05/2013,5,10,26.8
05/05/2013,5,11,30.5
05/05/2013,5,12,24.6
05/05/2013,5,13,7.5
05/05/2013,5,14,17.5
05/05/2013,5,15,12.8
05/05/2013,5,16,9.1
05/05/2013,5,17,9.4
