Date,Month,Hour Taken,Pollutant
01/11/2014,11,0,6.1
01/11/2014,11,1,5.9
01/11/2014,11,2,3.2
01/11/2014,11,3,2.5
01/11/2014,11,4,5.4
01/11/2014,11,5,4.7
01/11/2014,11,6,12.7
01/11/2014,11,7,22.7
01/11/2014,11,8,27.2
01/11/2014,11,9,43.3
01/11/2014,11,10,31.9
01/11/2014,11,11,35.9
01/11/2014,11,12,35.9
01/11/2014,11,13,38.0
01/11/2014,11,14,35.8
01/11/2014,11,15,30.8
01/11/2014,11,16,28.3
01/11/2014,11,17,33.5
01/11/2014,11,18,29.1
01/11/2014,11,19,18.2
01/11/2014,11,20,17.3
01/11/2014,11,21,13.9
01/11/2014,11,22,14.0
01/11/2014,11,23,14.6
02/11/2014,11,0,9.5
02/11/2014,11,1,4.4
02/11/2014,11,2,4.2
02/11/2014,11,3,2.8
02/11/2014,11,4,2.7
02/11/2014,11,5,3.6
02/11/2014,11,6,2.0
02/11/2014,11,7,2.6
02/11/2014,11,8,3.2
02/11/2014,11,9,21.2
02/11/2014,11,10,23.1
02/11/2014,11,11,24.0
02/11/2014,11,12,29.5
02/11/2014,11,13,32.8
02/11/2014,11,14,26.9
02/11/2014,11,15,23.3
02/11/2014,11,16,29.9
02/11/2014,11,17,33.9
02/11/2014,11,18,30.9
02/11/2014,11,19,22.5
02/11/2014,11,20,15.3
02/11/2014,11,21,20.9
02/11/2014,11,22,12.8
02/11/2014,11,23,9.4
03/11/2014,11,0,6.0
03/11/2014,11,1,3.6
03/11/2014,11,2,1.0
03/11/2014,11,3,1.6
03/11/2014,11,4,2.5
03/11/2014,11,5,8.7
03/11/2014,11,6,42.5
03/11/2014,11,7,104.2
03/11/2014,11,8,117.9
03/11/2014,11,9,86.1
03/11/2014,11,10,71.0
03/11/2014,11,11,62.8
03/11/2014,11,12,60.9
03/11/2014,11,13,62.1
03/11/2014,11,14,74.3
03/11/2014,11,15,91.5
03/11/2014,11,16,81.1
03/11/2014,11,17,64.6
03/11/2014,11,18,53.2
03/11/2014,11,19,57.8
03/11/2014,11,20,53.5
03/11/2014,11,21,31.4
03/11/2014,11,22,34.6
03/11/2014,11,23,22.5
04/11/2014,11,0,14.4
04/11/2014,11,1,4.0
04/11/2014,11,2,2.2
04/11/2014,11,3,3.0
04/11/2014,11,4,12.8
04/11/2014,11,5,41.1
04/11/2014,11,6,46.4
04/11/2014,11,7,168.8
04/11/2014,11,8,217.4
04/11/2014,11,9,171.0
04/11/2014,11,10,112.2
04/11/2014,11,11,98.1
04/11/2014,11,12,76.2
04/11/2014,11,13,26.4
04/11/2014,11,14,20.7
04/11/2014,11,15,36.3
04/11/2014,11,16,12.1
04/11/2014,11,17,14.0
04/11/2014,11,18,18.3
04/11/2014,11,19,6.9
04/11/2014,11,20,3.9
04/11/2014,11,21,1.9
04/11/2014,11,22,1.7
04/11/2014,11,23,1.3
05/11/2014,11,0,0.2
05/11/2014,11,1,0.1
05/11/2014,11,2,0.0
05/11/2014,11,3,0.1
05/11/2014,11,4,0.0
05/11/2014,11,5,0.4
05/11/2014,11,6,4.5
05/11/2014,11,7,10.1
05/11/2014,11,8,21.5
05/11/2014,11,9,10.2
05/11/2014,11,10,5.8
05/11/2014,11,11,11.9
05/11/2014,11,12,18.6
05/11/2014,11,13,8.2
05/11/2014,11,14,5.6
05/11/2014,11,15,8.4
05/11/2014,11,16,3.8
05/11/2014,11,17,33.9
05/11/2014,11,18,169.6
05/11/2014,11,19,199.2
05/11/2014,11,20,227.6
05/11/2014,11,21,191.8
05/11/2014,11,22,174.3
05/11/2014,11,23,99.7
06/11/2014,11,0,43.3
06/11/2014,11,1,9.7
06/11/2014,11,2,5.4
06/11/2014,11,3,6.3
06/11/2014,11,4,7.4
06/11/2014,11,5,22.0
06/11/2014,11,6,48.2
06/11/2014,11,7,77.6
06/11/2014,11,8,80.1
06/11/2014,11,9,89.4
06/11/2014,11,10,65.1
06/11/2014,11,11,61.9
06/11/2014,11,12,53.3
06/11/2014,11,13,59.6
06/11/2014,11,14,54.3
06/11/2014,11,15,51.1
06/11/2014,11,16,51.2
06/11/2014,11,17,42.0
06/11/2014,11,18,36.6
06/11/2014,11,19,34.2
06/11/2014,11,20,18.6
06/11/2014,11,21,15.1
06/11/2014,11,22,12.2
06/11/2014,11,23,7.9
07/11/2014,11,0,4.5
07/11/2014,11,1,3.1
07/11/2014,11,2,1.7
07/11/2014,11,3,2.3
07/11/2014,11,4,3.2
07/11/2014,11,5,8.3
07/11/2014,11,6,26.3
07/11/2014,11,7,87.3
07/11/2014,11,8,101.9
07/11/2014,11,9,61.7
07/11/2014,11,10,35.8
07/11/2014,11,11,37.6
07/11/2014,11,12,26.4
07/11/2014,11,13,29.8
07/11/2014,11,14,32.2
07/11/2014,11,15,38.0
07/11/2014,11,16,73.4
07/11/2014,11,17,90.1
07/11/2014,11,18,88.3
07/11/2014,11,19,58.0
07/11/2014,11,20,48.7
07/11/2014,11,21,22.3
07/11/2014,11,22,20.9
07/11/2014,11,23,20.2
08/11/2014,11,0,14.5
08/11/2014,11,1,4.5
08/11/2014,11,2,5.3
08/11/2014,11,3,7.7
08/11/2014,11,4,4.7
08/11/2014,11,5,14.3
08/11/2014,11,6,26.2
08/11/2014,11,7,35.7
08/11/2014,11,8,47.2
08/11/2014,11,9,41.4
08/11/2014,11,10,45.5
08/11/2014,11,11,43.9
08/11/2014,11,12,59.0
08/11/2014,11,13,46.2
08/11/2014,11,14,50.1
08/11/2014,11,15,52.6
08/11/2014,11,16,37.4
08/11/2014,11,17,37.0
08/11/2014,11,18,26.9
08/11/2014,11,19,19.1
08/11/2014,11,20,9.1
08/11/2014,11,21,21.4
08/11/2014,11,22,25.4
08/11/2014,11,23,26.6
09/11/2014,11,0,25.6
