Date,Month,Hour Taken,Pollutant
01/10/2011,10,0,1.9
01/10/2011,10,1,1.2
01/10/2011,10,2,6.2
01/10/2011,10,3,4.2
01/10/2011,10,4,10.2
01/10/2011,10,5,29.7
01/10/2011,10,6,13.5
01/10/2011,10,7,41.4
01/10/2011,10,8,42.0
01/10/2011,10,9,50.2
01/10/2011,10,10,47.4
01/10/2011,10,11,40.3
01/10/2011,10,12,34.2
01/10/2011,10,13,23.6
01/10/2011,10,14,25.1
01/10/2011,10,15,18.1
01/10/2011,10,16,5.2
01/10/2011,10,17,2.0
01/10/2011,10,18,0.0
01/10/2011,10,19,0.2
01/10/2011,10,20,0.0
01/10/2011,10,21,13.3
01/10/2011,10,22,3.8
01/10/2011,10,23,5.5
02/10/2011,10,0,19.0
02/10/2011,10,1,23.3
02/10/2011,10,2,7.4
02/10/2011,10,3,4.0
02/10/2011,10,4,5.5
02/10/2011,10,5,20.8
02/10/2011,10,6,16.3
02/10/2011,10,7,16.6
02/10/2011,10,8,19.7
02/10/2011,10,9,35.8
02/10/2011,10,10,44.3
02/10/2011,10,11,63.0
02/10/2011,10,12,81.4
02/10/2011,10,13,65.1
02/10/2011,10,14,88.5
02/10/2011,10,15,78.7
02/10/2011,10,16,47.8
02/10/2011,10,17,48.0
02/10/2011,10,18,27.1
02/10/2011,10,19,20.4
02/10/2011,10,20,24.7
02/10/2011,10,21,18.3
02/10/2011,10,22,9.1
02/10/2011,10,23,6.1
03/10/2011,10,0,13.3
03/10/2011,10,1,3.5
03/10/2011,10,2,1.2
03/10/2011,10,3,6.6
03/10/2011,10,4,7.4
03/10/2011,10,5,20.1
03/10/2011,10,6,78.9
03/10/2011,10,7,147.6
03/10/2011,10,8,130.9
03/10/2011,10,9,97.8
03/10/2011,10,10,94.5
03/10/2011,10,11,51.5
03/10/2011,10,12,48.7
03/10/2011,10,13,44.8
03/10/2011,10,14,34.6
03/10/2011,10,15,24.1
03/10/2011,10,16,30.6
03/10/2011,10,17,18.4
03/10/2011,10,18,10.7
03/10/2011,10,19,7.5
03/10/2011,10,20,9.2
03/10/2011,10,21,4.1
03/10/2011,10,22,2.0
03/10/2011,10,23,1.0
04/10/2011,10,0,0.1
04/10/2011,10,1,0.4
04/10/2011,10,2,0.2
04/10/2011,10,3,0.3
04/10/2011,10,4,1.0
04/10/2011,10,5,5.1
04/10/2011,10,6,36.4
04/10/2011,10,7,40.6
04/10/2011,10,8,38.6
04/10/2011,10,9,30.7
04/10/2011,10,10,46.0
04/10/2011,10,11,28.3
04/10/2011,10,12,28.8
04/10/2011,10,13,31.8
04/10/2011,10,14,27.9
04/10/2011,10,15,30.8
04/10/2011,10,16,30.3
04/10/2011,10,17,38.6
04/10/2011,10,18,62.8
04/10/2011,10,19,35.3
04/10/2011,10,20,24.7
04/10/2011,10,21,18.7
04/10/2011,10,22,12.8
04/10/2011,10,23,5.5
05/10/2011,10,0,1.0
05/10/2011,10,1,4.4
05/10/2011,10,2,1.6
05/10/2011,10,3,6.3
05/10/2011,10,4,12.3
05/10/2011,10,5,22.1
05/10/2011,10,6,67.8
05/10/2011,10,7,63.9
05/10/2011,10,8,70.5
05/10/2011,10,9,71.6
05/10/2011,10,10,62.2
05/10/2011,10,11,38.4
05/10/2011,10,12,36.2
05/10/2011,10,13,37.7
05/10/2011,10,14,50.3
05/10/2011,10,15,40.9
05/10/2011,10,16,53.0
05/10/2011,10,17,32.2
05/10/2011,10,18,21.5
05/10/2011,10,19,13.1
05/10/2011,10,20,4.7
05/10/2011,10,21,3.2
05/10/2011,10,22,1.8
05/10/2011,10,23,0.3
06/10/2011,10,0,0.0
06/10/2011,10,1,0.2
06/10/2011,10,2,0.3
06/10/2011,10,3,0.1
06/10/2011,10,4,0.6
06/10/2011,10,5,2.8
06/10/2011,10,6,24.2
06/10/2011,10,7,27.9
06/10/2011,10,8,24.6
06/10/2011,10,9,15.7
06/10/2011,10,10,21.4
06/10/2011,10,11,18.2
06/10/2011,10,12,21.3
06/10/2011,10,13,25.6
06/10/2011,10,14,22.8
06/10/2011,10,15,19.8
06/10/2011,10,16,16.4
06/10/2011,10,17,11.6
06/10/2011,10,18,7.9
06/10/2011,10,19,4.5
06/10/2011,10,20,3.3
06/10/2011,10,21,1.7
06/10/2011,10,22,1.5
06/10/2011,10,23,0.6
07/10/2011,10,0,0.0
07/10/2011,10,1,0.1
07/10/2011,10,2,0.1
07/10/2011,10,3,0.0
07/10/2011,10,4,3.4
07/10/2011,10,5,5.7
07/10/2011,10,6,15.6
07/10/2011,10,7,27.5
07/10/2011,10,8,37.1
07/10/2011,10,9,24.7
07/10/2011,10,10,25.0
07/10/2011,10,11,26.1
07/10/2011,10,12,20.1
07/10/2011,10,13,25.0
07/10/2011,10,14,21.7
07/10/2011,10,15,20.6
07/10/2011,10,16,21.8
07/10/2011,10,17,20.1
07/10/2011,10,18,10.1
07/10/2011,10,19,6.2
07/10/2011,10,20,5.4
07/10/2011,10,21,4.6
07/10/2011,10,22,2.2
07/10/2011,10,23,1.1
08/10/2011,10,0,0.5
08/10/2011,10,1,0.8
08/10/2011,10,2,0.2
08/10/2011,10,3,0.2
08/10/2011,10,4,0.3
08/10/2011,10,5,1.9
08/10/2011,10,6,3.2
08/10/2011,10,7,9.3
08/10/2011,10,8,20.6
08/10/2011,10,9,31.4
08/10/2011,10,10,35.4
08/10/2011,10,11,26.7
08/10/2011,10,12,33.9
08/10/2011,10,13,32.4
08/10/2011,10,14,33.0
08/10/2011,10,15,32.8
08/10/2011,10,16,25.8
08/10/2011,10,17,25.1
08/10/2011,10,18,18.6
08/10/2011,10,19,12.5
08/10/2011,10,20,5.8
08/10/2011,10,21,4.3
08/10/2011,10,22,2.1
08/10/2011,10,23,2.8
09/10/2011,10,0,1.4
09/10/2011,10,1,1.0
09/10/2011,10,2,1.0
09/10/2011,10,3,0.5
09/10/2011,10,4,1.0
09/10/2011,10,5,17.7
09/10/2011,10,6,20.1
09/10/2011,10,7,13.0
09/10/2011,10,8,19.7
09/10/2011,10,9,24.4
09/10/2011,10,10,30.0
09/10/2011,10,11,29.2
09/10/2011,10,12,10.2
09/10/2011,10,13,12.2
09/10/2011,10,14,11.6
09/10/2011,10,15,9.7
09/10/2011,10,16,11.5
09/10/2011,10,17,10.9
09/10/2011,10,18,8.1
09/10/2011,10,19,5.3
09/10/2011,10,20,16.3
09/10/2011,10,21,18.4
09/10/2011,10,22,5.9
09/10/2011,10,23,9.6
10/10/2011,10,0,0.0
10/10/2011,10,1,0.3
10/10/2011,10,2,0.7
10/10/2011,10,3,4.1
10/10/2011,10,4,8.2
10/10/2011,10,5,15.1
10/10/2011,10,6,36.6
10/10/2011,10,7,61.5
10/10/2011,10,8,65.1
10/10/2011,10,9,26.3
10/10/2011,10,10,22.9
10/10/2011,10,11,18.5
10/10/2011,10,12,27.3
10/10/2011,10,13,23.5
10/10/2011,10,14,25.2
10/10/2011,10,15,28.4
10/10/2011,10,16,33.2
10/10/2011,10,17,26.2
10/10/2011,10,18,14.9
10/10/2011,10,19,7.7
10/10/2011,10,20,16.2
10/10/2011,10,21,7.1
10/10/2011,10,22,3.9
10/10/2011,10,23,0.8
11/10/2011,10,0,0.4
11/10/2011,10,1,0.4
11/10/2011,10,2,0.0
11/10/2011,10,3,0.0
11/10/2011,10,4,0.5
11/10/2011,10,5,2.7
11/10/2011,10,6,24.0
11/10/2011,10,7,25.5
11/10/2011,10,8,30.2
11/10/2011,10,9,22.0
11/10/2011,10,10,28.5
11/10/2011,10,11,23.0
11/10/2011,10,12,30.5
11/10/2011,10,13,33.0
11/10/2011,10,14,54.6
11/10/2011,10,15,43.8
11/10/2011,10,16,32.6
11/10/2011,10,17,20.9
11/10/2011,10,18,10.7
11/10/2011,10,19,2.0
11/10/2011,10,20,3.6
11/10/2011,10,21,2.9
11/10/2011,10,22,1.4
11/10/2011,10,23,8.8
12/10/2011,10,0,7.9
12/10/2011,10,1,1.5
12/10/2011,10,2,0.0
12/10/2011,10,3,0.4
12/10/2011,10,4,3.1
12/10/2011,10,5,81.5
12/10/2011,10,6,121.7
12/10/2011,10,7,81.4
12/10/2011,10,8,98.9
12/10/2011,10,9,48.7
