Date,Month,Hour Taken,Pollutant
01/09/2010,9,0,2.6
01/09/2010,9,1,3.9
01/09/2010,9,2,7.2
01/09/2010,9,3,11.2
01/09/2010,9,4,37.5
01/09/2010,9,5,79.1
01/09/2010,9,6,113.8
01/09/2010,9,7,124.8
01/09/2010,9,8,101.6
01/09/2010,9,9,106.2
01/09/2010,9,10,73.6
01/09/2010,9,11,57.9
01/09/2010,9,12,49.1
01/09/2010,9,13,55.5
01/09/2010,9,14,64.6
01/09/2010,9,15,64.3
01/09/2010,9,16,37.1
01/09/2010,9,17,7.6
01/09/2010,9,18,2.0
01/09/2010,9,19,0.3
01/09/2010,9,20,0.0
01/09/2010,9,21,0.3
01/09/2010,9,22,0.4
01/09/2010,9,23,12.2
02/09/2010,9,0,10.0
02/09/2010,9,1,7.5
02/09/2010,9,2,2.8
02/09/2010,9,3,6.8
02/09/2010,9,4,50.3
02/09/2010,9,5,60.0
02/09/2010,9,6,92.2
02/09/2010,9,7,123.8
02/09/2010,9,8,108.6
02/09/2010,9,9,97.5
02/09/2010,9,10,77.7
02/09/2010,9,11,60.2
02/09/2010,9,12,49.8
02/09/2010,9,13,64.7
02/09/2010,9,14,65.3
02/09/2010,9,15,77.8
02/09/2010,9,16,72.2
02/09/2010,9,17,58.7
02/09/2010,9,18,51.1
02/09/2010,9,19,12.3
02/09/2010,9,20,12.4
02/09/2010,9,21,4.7
02/09/2010,9,22,2.6
02/09/2010,9,23,5.9
03/09/2010,9,0,4.9
03/09/2010,9,1,3.9
03/09/2010,9,2,3.6
03/09/2010,9,3,6.5
03/09/2010,9,4,25.3
03/09/2010,9,5,47.8
03/09/2010,9,6,100.5
03/09/2010,9,7,122.4
03/09/2010,9,8,104.2
03/09/2010,9,9,89.3
03/09/2010,9,10,85.9
03/09/2010,9,11,62.8
03/09/2010,9,12,63.1
03/09/2010,9,13,68.0
03/09/2010,9,14,71.3
03/09/2010,9,15,62.2
03/09/2010,9,16,58.4
03/09/2010,9,17,47.8
03/09/2010,9,18,36.0
03/09/2010,9,19,17.5
03/09/2010,9,20,7.6
03/09/2010,9,21,9.5
03/09/2010,9,22,10.3
03/09/2010,9,23,9.0
04/09/2010,9,0,16.7
04/09/2010,9,1,13.8
04/09/2010,9,2,2.9
04/09/2010,9,3,2.2
04/09/2010,9,4,8.0
04/09/2010,9,5,26.2
04/09/2010,9,6,34.6
04/09/2010,9,7,53.3
04/09/2010,9,8,49.6
04/09/2010,9,9,47.1
04/09/2010,9,10,44.6
04/09/2010,9,11,45.7
04/09/2010,9,12,42.7
04/09/2010,9,13,41.3
04/09/2010,9,14,29.0
04/09/2010,9,15,28.0
04/09/2010,9,16,39.8
04/09/2010,9,17,41.5
04/09/2010,9,18,23.2
04/09/2010,9,19,7.7
04/09/2010,9,20,7.0
