Date,Month,Hour Taken,Pollutant
01/04/2019,4,0,1.4
01/04/2019,4,1,0.4
01/04/2019,4,2,1.0
01/04/2019,4,3,4.3
01/04/2019,4,4,14.3
01/04/2019,4,5,38.8
01/04/2019,4,6,51.9
01/04/2019,4,7,54.6
01/04/2019,4,8,52.4
01/04/2019,4,9,42.8
01/04/2019,4,10,45.9
01/04/2019,4,11,47.0
01/04/2019,4,12,62.3
01/04/2019,4,13,63.3
01/04/2019,4,14,60.8
01/04/2019,4,15,72.9
01/04/2019,4,16,64.9
01/04/2019,4,17,58.1
01/04/2019,4,18,41.3
01/04/2019,4,19,67.0
01/04/2019,4,20,59.8
01/04/2019,4,21,38.7
01/04/2019,4,22,4.5
01/04/2019,4,23,0.1
02/04/2019,4,0,0.0
02/04/2019,4,1,0.2
02/04/2019,4,2,0.0
02/04/2019,4,3,0.7
02/04/2019,4,4,8.2
02/04/2019,4,5,12.2
02/04/2019,4,6,20.6
02/04/2019,4,7,32.9
02/04/2019,4,8,22.8
02/04/2019,4,9,17.0
02/04/2019,4,10,26.4
02/04/2019,4,11,20.2
02/04/2019,4,12,25.8
02/04/2019,4,13,20.3
02/04/2019,4,14,29.4
02/04/2019,4,15,31.7
02/04/2019,4,16,24.5
02/04/2019,4,17,11.5
02/04/2019,4,18,7.4
02/04/2019,4,19,4.1
02/04/2019,4,20,0.9
02/04/2019,4,21,0.9
02/04/2019,4,22,0.3
02/04/2019,4,23,0.0
03/04/2019,4,0,1.6
03/04/2019,4,1,0.5
03/04/2019,4,2,0.0
03/04/2019,4,3,0.0
03/04/2019,4,4,0.8
03/04/2019,4,5,3.9
03/04/2019,4,6,16.8
03/04/2019,4,7,20.6
03/04/2019,4,8,26.2
03/04/2019,4,9,13.3
03/04/2019,4,10,7.4
03/04/2019,4,11,7.2
03/04/2019,4,12,8.8
03/04/2019,4,13,7.0
03/04/2019,4,14,53.7
03/04/2019,4,15,84.9
03/04/2019,4,16,78.4
03/04/2019,4,17,59.4
03/04/2019,4,18,61.0
03/04/2019,4,19,18.0
03/04/2019,4,20,6.3
03/04/2019,4,21,5.3
03/04/2019,4,22,1.5
03/04/2019,4,23,2.3
04/04/2019,4,0,0.5
04/04/2019,4,1,0.3
04/04/2019,4,2,0.2
04/04/2019,4,3,1.8
04/04/2019,4,4,6.1
04/04/2019,4,5,17.7
04/04/2019,4,6,25.9
04/04/2019,4,7,31.2
04/04/2019,4,8,17.4
04/04/2019,4,9,16.6
04/04/2019,4,10,12.1
04/04/2019,4,11,9.6
04/04/2019,4,12,9.9
04/04/2019,4,13,18.9
04/04/2019,4,14,32.1
04/04/2019,4,15,28.6
04/04/2019,4,16,23.6
04/04/2019,4,17,30.8
04/04/2019,4,18,29.3
04/04/2019,4,19,20.9
04/04/2019,4,20,15.7
04/04/2019,4,21,11.5
04/04/2019,4,22,8.4
04/04/2019,4,23,3.2
05/04/2019,4,0,1.5
05/04/2019,4,1,0.9
05/04/2019,4,2,0.9
05/04/2019,4,3,2.4
05/04/2019,4,4,8.9
05/04/2019,4,5,15.9
05/04/2019,4,6,17.4
05/04/2019,4,7,18.7
05/04/2019,4,8,26.8
05/04/2019,4,9,26.2
05/04/2019,4,10,25.1
05/04/2019,4,11,31.6
05/04/2019,4,12,33.2
05/04/2019,4,13,38.4
05/04/2019,4,14,41.8
05/04/2019,4,15,33.0
05/04/2019,4,16,28.2
05/04/2019,4,17,22.0
05/04/2019,4,18,8.4
05/04/2019,4,19,3.6
05/04/2019,4,20,1.2
05/04/2019,4,21,1.7
05/04/2019,4,22,1.2
05/04/2019,4,23,0.3
06/04/2019,4,0,0.6
06/04/2019,4,1,0.2
06/04/2019,4,2,0.0
06/04/2019,4,3,0.3
06/04/2019,4,4,0.5
06/04/2019,4,5,6.1
06/04/2019,4,6,2.3
06/04/2019,4,7,4.7
06/04/2019,4,8,11.3
06/04/2019,4,9,17.4
06/04/2019,4,10,25.0
06/04/2019,4,11,12.7
06/04/2019,4,12,22.0
06/04/2019,4,13,31.9
06/04/2019,4,14,15.8
06/04/2019,4,15,10.3
06/04/2019,4,16,9.9
06/04/2019,4,17,5.5
06/04/2019,4,18,1.4
06/04/2019,4,19,0.6
06/04/2019,4,20,0.1
06/04/2019,4,21,0.2
06/04/2019,4,22,1.0
06/04/2019,4,23,0.0
07/04/2019,4,0,0.0
07/04/2019,4,1,0.0
07/04/2019,4,2,0.0
07/04/2019,4,3,0.0
07/04/2019,4,4,0.0
07/04/2019,4,5,2.7
07/04/2019,4,6,0.0
07/04/2019,4,7,0.3
07/04/2019,4,8,1.1
07/04/2019,4,9,2.2
07/04/2019,4,10,3.0
07/04/2019,4,11,5.9
07/04/2019,4,12,9.0
07/04/2019,4,13,15.0
07/04/2019,4,14,15.2
07/04/2019,4,15,19.4
07/04/2019,4,16,7.5
07/04/2019,4,17,3.8
07/04/2019,4,18,1.8
07/04/2019,4,19,0.5
07/04/2019,4,20,0.2
07/04/2019,4,21,0.0
07/04/2019,4,22,0.0
07/04/2019,4,23,0.4
08/04/2019,4,0,0.0
08/04/2019,4,1,0.0
08/04/2019,4,2,0.0
08/04/2019,4,3,0.0
08/04/2019,4,4,3.5
08/04/2019,4,5,12.8
08/04/2019,4,6,34.4
08/04/2019,4,7,12.0
08/04/2019,4,8,16.5
08/04/2019,4,9,9.3
08/04/2019,4,10,9.2
08/04/2019,4,11,15.6
08/04/2019,4,12,9.0
08/04/2019,4,13,6.1
08/04/2019,4,14,9.4
08/04/2019,4,15,7.4
08/04/2019,4,16,4.6
08/04/2019,4,17,2.6
08/04/2019,4,18,1.7
08/04/2019,4,19,1.0
08/04/2019,4,20,0.7
08/04/2019,4,21,0.2
08/04/2019,4,22,0.5
08/04/2019,4,23,0.0
09/04/2019,4,0,0.0
09/04/2019,4,1,0.0
09/04/2019,4,2,0.0
09/04/2019,4,3,0.0
09/04/2019,4,4,1.8
09/04/2019,4,5,4.7
09/04/2019,4,6,8.9
09/04/2019,4,7,9.9
09/04/2019,4,8,10.0
09/04/2019,4,9,8.3
09/04/2019,4,10,8.6
09/04/2019,4,11,6.8
09/04/2019,4,12,8.1
09/04/2019,4,13,9.5
09/04/2019,4,14,8.1
09/04/2019,4,15,9.5
09/04/2019,4,16,3.4
09/04/2019,4,17,2.3
09/04/2019,4,18,0.9
09/04/2019,4,19,1.0
09/04/2019,4,20,0.5
09/04/2019,4,21,0.9
09/04/2019,4,22,0.0
09/04/2019,4,23,0.1
10/04/2019,4,0,0.0
10/04/2019,4,1,0.0
10/04/2019,4,2,0.0
10/04/2019,4,3,0.0
10/04/2019,4,4,2.0
10/04/2019,4,5,1.6
10/04/2019,4,6,3.2
10/04/2019,4,7,7.7
10/04/2019,4,8,16.1
10/04/2019,4,9,15.6
10/04/2019,4,10,12.2
10/04/2019,4,11,10.8
10/04/2019,4,12,18.6
10/04/2019,4,13,19.0
10/04/2019,4,14,21.5
10/04/2019,4,15,20.6
10/04/2019,4,16,13.9
10/04/2019,4,17,13.2
10/04/2019,4,18,19.8
10/04/2019,4,19,3.4
10/04/2019,4,20,2.0
10/04/2019,4,21,3.3
10/04/2019,4,22,2.7
10/04/2019,4,23,2.0
11/04/2019,4,0,1.0
11/04/2019,4,1,2.2
11/04/2019,4,2,0.1
11/04/2019,4,3,3.1
11/04/2019,4,4,15.3
11/04/2019,4,5,36.7
11/04/2019,4,6,80.8
11/04/2019,4,7,69.6
11/04/2019,4,8,71.8
11/04/2019,4,9,63.1
11/04/2019,4,10,60.2
11/04/2019,4,11,53.8
11/04/2019,4,12,58.9
11/04/2019,4,13,48.8
11/04/2019,4,14,44.5
11/04/2019,4,15,55.9
11/04/2019,4,16,44.5
11/04/2019,4,17,40.4
11/04/2019,4,18,25.8
11/04/2019,4,19,46.3
11/04/2019,4,20,0.0
11/04/2019,4,21,0.0
11/04/2019,4,22,4.4
11/04/2019,4,23,5.1
12/04/2019,4,0,5.4
12/04/2019,4,1,1.9
12/04/2019,4,2,0.8
12/04/2019,4,3,4.8
12/04/2019,4,4,11.7
12/04/2019,4,5,37.2
12/04/2019,4,6,39.3
12/04/2019,4,7,47.2
12/04/2019,4,8,60.9
12/04/2019,4,9,57.2
12/04/2019,4,10,44.1
12/04/2019,4,11,46.4
12/04/2019,4,12,34.2
12/04/2019,4,13,37.7
12/04/2019,4,14,36.8
12/04/2019,4,15,23.1
12/04/2019,4,16,26.0
12/04/2019,4,17,20.7
12/04/2019,4,18,13.6
12/04/2019,4,19,7.7
12/04/2019,4,20,1.9
12/04/2019,4,21,0.8
12/04/2019,4,22,4.3
12/04/2019,4,23,5.2
13/04/2019,4,0,1.7
13/04/2019,4,1,2.6
13/04/2019,4,2,2.0
13/04/2019,4,3,2.7
13/04/2019,4,4,13.1
13/04/2019,4,5,16.4
13/04/2019,4,6,30.1
13/04/2019,4,7,29.8
13/04/2019,4,8,20.7
13/04/2019,4,9,12.5
13/04/2019,4,10,14.7
13/04/2019,4,11,17.9
13/04/2019,4,12,14.4
13/04/2019,4,13,18.1
13/04/2019,4,14,15.8
13/04/2019,4,15,14.8
13/04/2019,4,16,19.3
13/04/2019,4,17,11.4
13/04/2019,4,18,6.1
13/04/2019,4,19,2.9
13/04/2019,4,20,1.0
13/04/2019,4,21,1.8
13/04/2019,4,22,2.7
13/04/2019,4,23,1.2
14/04/2019,4,0,0.3
14/04/2019,4,1,0.0
14/04/2019,4,2,0.3
14/04/2019,4,3,0.0
14/04/2019,4,4,1.9
14/04/2019,4,5,3.4
14/04/2019,4,6,2.6
14/04/2019,4,7,3.7
14/04/2019,4,8,5.1
