Date,Month,Hour Taken,Pollutant
08/08/2017,8,6,107.3
08/08/2017,8,7,93.4
08/08/2017,8,8,34.6
08/08/2017,8,9,19.2
08/08/2017,8,1,19.7
08/08/2017,8,1,12.9
08/08/2017,8,1,23.1
08/08/2017,8,1,30.2
08/08/2017,8,1,41.2
08/08/2017,8,1,54.3
08/08/2017,8,16,6.7
08/08/2017,8,17,0.6
08/08/2017,8,18,0.4
08/08/2017,8,19,0.1
08/08/2017,8,20,0.2
08/08/2017,8,21,0.1
08/08/2017,8,22,0.0
08/08/2017,8,23,0.0
09/08/2017,8,0,0.0
09/08/2017,8,1,0.0
09/08/2017,8,2,0.0
09/08/2017,8,3,0.0
09/08/2017,8,4,0.1
09/08/2017,8,5,0.0
09/08/2017,8,6,2.5
09/08/2017,8,7,3.3
09/08/2017,8,8,1.7
09/08/2017,8,9,1.9
09/08/2017,8,10,1.7
09/08/2017,8,11,1.8
09/08/2017,8,12,2.3
09/08/2017,8,13,0.7
09/08/2017,8,14,4.5
09/08/2017,8,15,4.5
09/08/2017,8,16,3.5
09/08/2017,8,17,2.4
09/08/2017,8,18,0.9
09/08/2017,8,19,0.0
09/08/2017,8,20,0.0
09/08/2017,8,21,0.1
09/08/2017,8,22,0.0
09/08/2017,8,23,0.0
10/08/2017,8,0,0.6
10/08/2017,8,1,1.2
10/08/2017,8,2,4.3
10/08/2017,8,3,6.5
10/08/2017,8,4,1.4
10/08/2017,8,5,6.6
10/08/2017,8,6,25.8
10/08/2017,8,7,20.1
10/08/2017,8,8,18.7
10/08/2017,8,9,20.5
10/08/2017,8,10,34.4
10/08/2017,8,11,33.1
10/08/2017,8,12,29.5
10/08/2017,8,13,26.2
10/08/2017,8,14,30.9
10/08/2017,8,15,14.4
10/08/2017,8,16,16.0
10/08/2017,8,17,14.7
10/08/2017,8,18,8.4
10/08/2017,8,19,19.1
10/08/2017,8,20,6.4
10/08/2017,8,21,31.2
10/08/2017,8,22,19.5
10/08/2017,8,23,14.0
11/08/2017,8,0,2.6
11/08/2017,8,1,7.6
11/08/2017,8,2,5.1
11/08/2017,8,3,7.8
11/08/2017,8,4,21.5
11/08/2017,8,5,42.4
11/08/2017,8,6,69.1
11/08/2017,8,7,93.8
11/08/2017,8,8,70.8
11/08/2017,8,9,54.6
11/08/2017,8,10,69.1
11/08/2017,8,11,58.0
11/08/2017,8,12,64.2
11/08/2017,8,13,40.1
11/08/2017,8,14,49.6
11/08/2017,8,15,32.9
11/08/2017,8,16,38.4
11/08/2017,8,17,41.2
11/08/2017,8,18,24.5
11/08/2017,8,19,20.1
11/08/2017,8,20,23.8
11/08/2017,8,21,16.9
11/08/2017,8,22,8.7
11/08/2017,8,23,3.5
12/08/2017,8,0,1.9
12/08/2017,8,1,1.4
12/08/2017,8,2,1.5
12/08/2017,8,3,1.5
12/08/2017,8,4,1.2
12/08/2017,8,5,2.8
12/08/2017,8,6,8.0
12/08/2017,8,7,10.1
12/08/2017,8,8,17.6
12/08/2017,8,9,17.6
12/08/2017,8,10,25.5
12/08/2017,8,11,21.5
12/08/2017,8,12,24.0
12/08/2017,8,13,14.6
12/08/2017,8,14,15.7
12/08/2017,8,15,12.7
12/08/2017,8,16,10.0
12/08/2017,8,17,10.5
12/08/2017,8,18,15.7
12/08/2017,8,19,5.7
12/08/2017,8,20,6.2
12/08/2017,8,21,4.1
12/08/2017,8,22,3.3
12/08/2017,8,23,2.2
13/08/2017,8,0,0.2
13/08/2017,8,1,0.2
13/08/2017,8,2,0.6
13/08/2017,8,3,0.5
13/08/2017,8,4,0.3
