Date,Month,Hour Taken,Pollutant
01/12/2011,12,1,1138.5
01/12/2011,12,1,2124.5
01/12/2011,12,1,3113.8
01/12/2011,12,1,4124.2
01/12/2011,12,1,5156.3
03/12/2011,12,1,16.4
03/12/2011,12,1,123.9
03/12/2011,12,1,220.5
03/12/2011,12,1,320.3
03/12/2011,12,1,418.8
03/12/2011,12,15,18.0
03/12/2011,12,16,17.6
03/12/2011,12,17,17.5
03/12/2011,12,18,15.6
03/12/2011,12,19,10.1
03/12/2011,12,20,7.6
03/12/2011,12,21,4.6
03/12/2011,12,22,4.3
03/12/2011,12,23,4.1
04/12/2011,12,0,2.2
04/12/2011,12,1,1.3
04/12/2011,12,2,1.0
04/12/2011,12,3,0.5
04/12/2011,12,4,1.1
04/12/2011,12,5,0.4
04/12/2011,12,6,1.4
04/12/2011,12,7,1.0
04/12/2011,12,8,1.4
04/12/2011,12,9,8.6
04/12/2011,12,10,10.2
04/12/2011,12,11,14.9
04/12/2011,12,12,16.2
04/12/2011,12,13,20.9
04/12/2011,12,14,19.9
04/12/2011,12,15,12.4
04/12/2011,12,16,11.1
04/12/2011,12,17,12.1
04/12/2011,12,18,10.1
04/12/2011,12,19,6.8
04/12/2011,12,20,4.8
04/12/2011,12,21,16.0
04/12/2011,12,22,3.1
04/12/2011,12,23,2.6
05/12/2011,12,0,0.3
05/12/2011,12,1,0.2
05/12/2011,12,2,0.3
05/12/2011,12,3,0.1
05/12/2011,12,4,0.1
05/12/2011,12,5,1.1
05/12/2011,12,6,2.8
05/12/2011,12,7,20.0
05/12/2011,12,8,31.3
05/12/2011,12,9,23.7
05/12/2011,12,10,26.9
05/12/2011,12,11,27.7
05/12/2011,12,12,18.9
05/12/2011,12,13,19.8
05/12/2011,12,14,28.1
05/12/2011,12,15,24.0
05/12/2011,12,16,32.0
05/12/2011,12,17,24.0
05/12/2011,12,18,16.2
05/12/2011,12,19,11.5
05/12/2011,12,20,5.6
05/12/2011,12,21,4.7
05/12/2011,12,22,3.2
05/12/2011,12,23,1.4
06/12/2011,12,0,0.8
06/12/2011,12,1,0.1
06/12/2011,12,2,0.0
06/12/2011,12,3,0.0
06/12/2011,12,4,0.3
06/12/2011,12,5,1.0
06/12/2011,12,6,3.8
06/12/2011,12,7,18.5
06/12/2011,12,8,27.3
06/12/2011,12,9,33.6
06/12/2011,12,10,28.7
06/12/2011,12,11,43.1
06/12/2011,12,12,43.8
06/12/2011,12,13,66.2
06/12/2011,12,14,152.6
06/12/2011,12,15,116.2
06/12/2011,12,16,116.3
06/12/2011,12,17,90.0
06/12/2011,12,18,52.0
06/12/2011,12,19,46.9
06/12/2011,12,20,33.9
06/12/2011,12,21,17.6
06/12/2011,12,22,12.1
06/12/2011,12,23,1.6
07/12/2011,12,0,1.3
07/12/2011,12,1,0.0
07/12/2011,12,2,0.0
07/12/2011,12,3,0.0
07/12/2011,12,4,0.1
07/12/2011,12,5,0.4
07/12/2011,12,6,2.8
07/12/2011,12,7,17.0
07/12/2011,12,8,18.3
07/12/2011,12,9,19.5
07/12/2011,12,10,22.1
07/12/2011,12,11,17.0
07/12/2011,12,12,22.5
07/12/2011,12,13,18.5
07/12/2011,12,14,15.9
07/12/2011,12,15,25.7
07/12/2011,12,16,20.7
07/12/2011,12,17,26.9
07/12/2011,12,18,16.4
07/12/2011,12,19,9.4
07/12/2011,12,20,6.3
07/12/2011,12,21,4.8
07/12/2011,12,22,3.7
07/12/2011,12,23,3.3
08/12/2011,12,0,5.0
08/12/2011,12,1,11.7
08/12/2011,12,2,2.7
08/12/2011,12,3,15.0
08/12/2011,12,4,41.5
08/12/2011,12,5,37.1
08/12/2011,12,6,39.3
08/12/2011,12,7,47.4
08/12/2011,12,8,43.8
08/12/2011,12,9,34.5
08/12/2011,12,10,34.1
08/12/2011,12,11,34.9
08/12/2011,12,12,34.5
08/12/2011,12,13,16.9
08/12/2011,12,14,16.0
08/12/2011,12,15,19.1
08/12/2011,12,16,20.8
08/12/2011,12,17,16.8
08/12/2011,12,18,13.7
08/12/2011,12,19,8.0
08/12/2011,12,20,4.6
08/12/2011,12,21,3.0
08/12/2011,12,22,1.8
08/12/2011,12,23,1.6
09/12/2011,12,0,0.5
09/12/2011,12,1,0.6
09/12/2011,12,2,0.0
09/12/2011,12,3,0.1
09/12/2011,12,4,0.2
09/12/2011,12,5,2.0
09/12/2011,12,6,5.2
09/12/2011,12,7,21.0
09/12/2011,12,8,29.6
09/12/2011,12,9,35.7
09/12/2011,12,10,28.1
09/12/2011,12,11,25.8
09/12/2011,12,12,23.7
09/12/2011,12,13,24.4
09/12/2011,12,14,41.3
09/12/2011,12,15,40.4
09/12/2011,12,16,30.8
09/12/2011,12,17,41.6
09/12/2011,12,18,21.7
09/12/2011,12,19,15.6
09/12/2011,12,20,9.3
09/12/2011,12,21,5.2
09/12/2011,12,22,7.2
09/12/2011,12,23,7.2
10/12/2011,12,0,4.1
10/12/2011,12,1,2.9
10/12/2011,12,2,3.2
10/12/2011,12,3,1.9
10/12/2011,12,4,0.7
10/12/2011,12,5,3.7
10/12/2011,12,6,2.4
10/12/2011,12,7,5.2
10/12/2011,12,8,12.4
10/12/2011,12,9,21.2
10/12/2011,12,10,21.3
10/12/2011,12,11,28.1
10/12/2011,12,12,27.7
10/12/2011,12,13,28.1
10/12/2011,12,14,30.5
10/12/2011,12,15,25.6
10/12/2011,12,16,38.9
10/12/2011,12,17,68.3
10/12/2011,12,18,78.2
10/12/2011,12,19,88.1
10/12/2011,12,20,100.8
10/12/2011,12,21,77.7
10/12/2011,12,22,67.9
10/12/2011,12,23,56.0
11/12/2011,12,0,50.4
11/12/2011,12,1,34.8
11/12/2011,12,2,42.4
11/12/2011,12,3,48.3
11/12/2011,12,4,39.9
11/12/2011,12,5,41.0
11/12/2011,12,6,12.9
11/12/2011,12,7,11.9
11/12/2011,12,8,8.0
11/12/2011,12,9,20.1
11/12/2011,12,10,36.4
11/12/2011,12,11,91.0
11/12/2011,12,12,116.9
11/12/2011,12,13,98.9
11/12/2011,12,14,127.4
11/12/2011,12,15,114.2
11/12/2011,12,16,117.9
11/12/2011,12,17,79.8
11/12/2011,12,18,23.0
11/12/2011,12,19,11.4
11/12/2011,12,20,7.3
11/12/2011,12,21,5.8
11/12/2011,12,22,3.3
11/12/2011,12,23,6.2
12/12/2011,12,0,5.1
12/12/2011,12,1,3.8
12/12/2011,12,2,5.7
12/12/2011,12,3,1.3
12/12/2011,12,4,1.2
12/12/2011,12,5,1.9
12/12/2011,12,6,13.5
12/12/2011,12,7,67.4
12/12/2011,12,8,82.8
12/12/2011,12,9,88.7
