Date,Month,Hour Taken,Pollutant
01/02/2016,2,0,14.6
01/02/2016,2,1,0.9
01/02/2016,2,2,0.1
01/02/2016,2,3,0.6
01/02/2016,2,4,1.1
01/02/2016,2,5,4.3
01/02/2016,2,6,19.2
01/02/2016,2,7,29.3
01/02/2016,2,8,44.1
01/02/2016,2,9,30.6
01/02/2016,2,10,16.9
01/02/2016,2,11,12.4
01/02/2016,2,12,10.9
01/02/2016,2,13,14.8
01/02/2016,2,14,12.2
01/02/2016,2,15,20.0
01/02/2016,2,16,21.0
01/02/2016,2,17,13.3
01/02/2016,2,18,10.9
01/02/2016,2,19,6.4
01/02/2016,2,20,3.4
01/02/2016,2,21,2.0
01/02/2016,2,22,1.3
01/02/2016,2,23,0.9
02/02/2016,2,0,0.2
02/02/2016,2,1,0.0
02/02/2016,2,2,0.0
02/02/2016,2,3,0.0
02/02/2016,2,4,0.0
02/02/2016,2,5,0.7
02/02/2016,2,6,4.8
02/02/2016,2,7,13.1
02/02/2016,2,8,19.2
02/02/2016,2,9,20.2
02/02/2016,2,10,13.9
02/02/2016,2,11,17.5
02/02/2016,2,12,18.7
02/02/2016,2,13,21.8
02/02/2016,2,14,22.2
02/02/2016,2,15,27.9
02/02/2016,2,16,22.7
02/02/2016,2,17,23.9
02/02/2016,2,18,31.0
02/02/2016,2,19,8.7
02/02/2016,2,20,8.2
02/02/2016,2,21,8.0
02/02/2016,2,22,8.3
02/02/2016,2,23,3.0
03/02/2016,2,0,4.6
03/02/2016,2,1,0.5
03/02/2016,2,2,0.7
03/02/2016,2,3,0.4
03/02/2016,2,4,0.1
03/02/2016,2,5,1.7
03/02/2016,2,6,3.5
03/02/2016,2,7,24.1
03/02/2016,2,8,30.7
03/02/2016,2,9,32.1
03/02/2016,2,10,15.5
03/02/2016,2,11,17.5
03/02/2016,2,12,20.5
03/02/2016,2,13,17.2
03/02/2016,2,14,33.9
03/02/2016,2,15,34.8
03/02/2016,2,16,35.3
03/02/2016,2,17,33.7
03/02/2016,2,18,37.6
03/02/2016,2,19,30.1
03/02/2016,2,20,10.4
03/02/2016,2,21,7.6
03/02/2016,2,22,18.3
03/02/2016,2,23,28.0
04/02/2016,2,0,15.1
04/02/2016,2,1,4.0
04/02/2016,2,2,0.8
04/02/2016,2,3,0.0
04/02/2016,2,4,0.1
04/02/2016,2,5,1.6
04/02/2016,2,6,5.0
04/02/2016,2,7,24.3
04/02/2016,2,8,35.6
04/02/2016,2,9,29.6
04/02/2016,2,10,13.3
04/02/2016,2,11,24.2
04/02/2016,2,12,36.6
04/02/2016,2,13,35.8
04/02/2016,2,14,38.0
04/02/2016,2,15,53.1
04/02/2016,2,16,84.0
04/02/2016,2,17,76.4
04/02/2016,2,18,121.4
04/02/2016,2,19,84.9
04/02/2016,2,20,37.7
04/02/2016,2,21,37.1
04/02/2016,2,22,21.6
04/02/2016,2,23,31.3
05/02/2016,2,0,7.7
05/02/2016,2,1,2.4
05/02/2016,2,2,2.6
05/02/2016,2,3,1.6
05/02/2016,2,4,1.3
05/02/2016,2,5,5.9
05/02/2016,2,6,31.7
05/02/2016,2,7,37.9
05/02/2016,2,8,85.3
05/02/2016,2,9,64.1
05/02/2016,2,10,79.5
05/02/2016,2,11,90.1
05/02/2016,2,12,83.0
05/02/2016,2,13,53.7
05/02/2016,2,14,43.7
05/02/2016,2,15,60.0
05/02/2016,2,16,67.0
05/02/2016,2,17,66.9
05/02/2016,2,18,52.4
05/02/2016,2,19,31.2
05/02/2016,2,20,15.9
05/02/2016,2,21,13.4
05/02/2016,2,22,8.2
05/02/2016,2,23,5.4
06/02/2016,2,0,27.1
