Date,Month,Hour Taken,Pollutant
01/01/2015,1,0,6.8
01/01/2015,1,1,9.5
01/01/2015,1,2,10.5
01/01/2015,1,3,9.9
01/01/2015,1,4,11.4
01/01/2015,1,5,7.6
01/01/2015,1,6,4.8
01/01/2015,1,7,1.2
01/01/2015,1,8,1.6
01/01/2015,1,9,2.1
01/01/2015,1,10,8.4
01/01/2015,1,11,10.6
01/01/2015,1,12,12.8
01/01/2015,1,13,26.0
01/01/2015,1,14,24.3
01/01/2015,1,15,15.4
01/01/2015,1,16,7.4
01/01/2015,1,17,9.3
01/01/2015,1,18,6.3
01/01/2015,1,19,5.9
01/01/2015,1,20,4.6
01/01/2015,1,21,4.0
01/01/2015,1,22,2.5
01/01/2015,1,23,0.3
02/01/2015,1,0,0.4
02/01/2015,1,1,0.0
02/01/2015,1,2,0.0
02/01/2015,1,3,0.0
02/01/2015,1,4,0.0
02/01/2015,1,5,0.8
02/01/2015,1,6,1.1
02/01/2015,1,7,3.7
02/01/2015,1,8,6.0
02/01/2015,1,9,7.0
02/01/2015,1,10,13.4
02/01/2015,1,11,14.8
02/01/2015,1,12,20.5
02/01/2015,1,13,23.5
02/01/2015,1,14,24.9
02/01/2015,1,15,23.7
02/01/2015,1,16,20.8
02/01/2015,1,17,24.1
02/01/2015,1,18,17.9
02/01/2015,1,19,16.1
02/01/2015,1,20,11.2
02/01/2015,1,21,8.5
02/01/2015,1,22,7.4
02/01/2015,1,23,15.2
03/01/2015,1,0,3.9
03/01/2015,1,1,4.8
03/01/2015,1,2,4.2
03/01/2015,1,3,0.7
03/01/2015,1,4,0.4
03/01/2015,1,5,9.6
03/01/2015,1,6,9.6
03/01/2015,1,7,26.8
03/01/2015,1,8,21.7
03/01/2015,1,9,29.2
03/01/2015,1,10,49.3
03/01/2015,1,11,17.8
03/01/2015,1,12,21.1
03/01/2015,1,13,73.5
03/01/2015,1,14,62.5
03/01/2015,1,15,76.8
03/01/2015,1,16,52.4
03/01/2015,1,17,43.7
03/01/2015,1,18,18.4
03/01/2015,1,19,13.8
03/01/2015,1,20,20.2
03/01/2015,1,21,33.8
03/01/2015,1,22,109.8
03/01/2015,1,23,73.0
04/01/2015,1,0,106.8
04/01/2015,1,1,47.4
04/01/2015,1,2,79.2
04/01/2015,1,3,70.6
04/01/2015,1,4,34.1
04/01/2015,1,5,20.2
04/01/2015,1,6,52.3
04/01/2015,1,7,47.9
04/01/2015,1,8,35.4
04/01/2015,1,9,58.4
04/01/2015,1,10,75.1
04/01/2015,1,11,56.2
04/01/2015,1,12,60.2
04/01/2015,1,13,86.1
04/01/2015,1,14,67.6
04/01/2015,1,15,61.5
04/01/2015,1,16,80.4
04/01/2015,1,17,72.9
04/01/2015,1,18,39.4
04/01/2015,1,19,53.3
04/01/2015,1,20,31.9
04/01/2015,1,21,26.3
04/01/2015,1,22,25.1
04/01/2015,1,23,23.5
05/01/2015,1,0,8.0
05/01/2015,1,1,3.7
05/01/2015,1,2,4.8
05/01/2015,1,3,3.4
05/01/2015,1,4,11.6
05/01/2015,1,5,61.8
05/01/2015,1,6,120.2
05/01/2015,1,7,154.5
05/01/2015,1,8,165.2
05/01/2015,1,9,194.9
05/01/2015,1,10,203.0
05/01/2015,1,11,144.3
05/01/2015,1,12,138.4
05/01/2015,1,13,93.9
05/01/2015,1,14,103.4
05/01/2015,1,15,128.1
05/01/2015,1,16,125.4
05/01/2015,1,17,121.9
05/01/2015,1,18,69.1
05/01/2015,1,19,54.3
05/01/2015,1,20,28.7
05/01/2015,1,21,21.1
05/01/2015,1,22,20.5
05/01/2015,1,23,14.5
06/01/2015,1,0,5.1
06/01/2015,1,1,1.9
06/01/2015,1,2,1.7
06/01/2015,1,3,2.6
06/01/2015,1,4,5.1
06/01/2015,1,5,18.7
06/01/2015,1,6,40.1
06/01/2015,1,7,67.7
06/01/2015,1,8,42.4
06/01/2015,1,1,123.4
06/01/2015,1,12,32.1
06/01/2015,1,13,30.5
06/01/2015,1,14,40.3
06/01/2015,1,15,55.6
06/01/2015,1,16,86.8
06/01/2015,1,17,117.5
06/01/2015,1,18,104.8
06/01/2015,1,19,71.4
06/01/2015,1,20,27.3
06/01/2015,1,21,29.2
06/01/2015,1,22,29.3
06/01/2015,1,23,24.5
07/01/2015,1,0,4.9
07/01/2015,1,1,4.2
07/01/2015,1,2,2.9
07/01/2015,1,3,3.6
07/01/2015,1,4,6.2
07/01/2015,1,5,21.8
07/01/2015,1,6,40.3
07/01/2015,1,7,99.1
07/01/2015,1,8,89.6
07/01/2015,1,9,74.7
07/01/2015,1,10,42.6
07/01/2015,1,11,46.3
07/01/2015,1,12,58.2
07/01/2015,1,13,56.1
07/01/2015,1,14,49.9
07/01/2015,1,15,39.9
07/01/2015,1,16,39.5
07/01/2015,1,17,52.7
07/01/2015,1,18,30.6
07/01/2015,1,19,16.7
07/01/2015,1,20,11.9
07/01/2015,1,21,5.1
07/01/2015,1,22,4.6
07/01/2015,1,23,2.9
08/01/2015,1,0,0.3
08/01/2015,1,1,0.2
08/01/2015,1,2,0.0
08/01/2015,1,3,0.1
08/01/2015,1,4,0.0
08/01/2015,1,5,1.4
08/01/2015,1,6,9.6
08/01/2015,1,7,120.9
08/01/2015,1,8,137.0
08/01/2015,1,9,89.0
08/01/2015,1,10,47.3
08/01/2015,1,11,32.9
08/01/2015,1,12,30.7
08/01/2015,1,13,30.6
08/01/2015,1,14,21.0
08/01/2015,1,15,37.7
08/01/2015,1,16,36.5
08/01/2015,1,17,84.1
08/01/2015,1,18,52.8
08/01/2015,1,19,36.1
08/01/2015,1,20,25.2
08/01/2015,1,21,10.4
08/01/2015,1,22,8.1
08/01/2015,1,23,6.1
09/01/2015,1,0,1.5
09/01/2015,1,1,0.5
09/01/2015,1,2,0.0
09/01/2015,1,3,0.0
09/01/2015,1,4,0.0
09/01/2015,1,5,0.9
09/01/2015,1,6,4.2
09/01/2015,1,7,29.8
09/01/2015,1,8,28.9
09/01/2015,1,9,24.6
09/01/2015,1,10,44.0
09/01/2015,1,11,28.5
09/01/2015,1,12,51.1
09/01/2015,1,13,76.6
09/01/2015,1,14,40.3
09/01/2015,1,15,40.1
09/01/2015,1,16,25.4
09/01/2015,1,17,29.8
09/01/2015,1,18,23.9
09/01/2015,1,19,14.5
09/01/2015,1,20,7.4
09/01/2015,1,21,4.2
09/01/2015,1,22,4.8
09/01/2015,1,23,4.6
10/01/2015,1,0,3.6
10/01/2015,1,1,3.9
10/01/2015,1,2,4.5
10/01/2015,1,3,2.1
10/01/2015,1,4,1.8
10/01/2015,1,5,3.1
10/01/2015,1,6,1.3
10/01/2015,1,7,3.8
10/01/2015,1,8,4.8
10/01/2015,1,9,10.2
10/01/2015,1,10,8.2
10/01/2015,1,11,15.2
10/01/2015,1,12,15.6
10/01/2015,1,13,17.9
10/01/2015,1,14,22.1
10/01/2015,1,15,22.1
10/01/2015,1,16,13.7
10/01/2015,1,17,15.6
10/01/2015,1,18,15.0
10/01/2015,1,19,9.9
10/01/2015,1,20,5.6
10/01/2015,1,21,3.1
10/01/2015,1,22,2.9
10/01/2015,1,23,2.1
11/01/2015,1,0,1.4
11/01/2015,1,1,0.6
11/01/2015,1,2,0.6
11/01/2015,1,3,0.3
11/01/2015,1,4,0.2
11/01/2015,1,5,0.1
11/01/2015,1,6,0.6
11/01/2015,1,7,1.2
11/01/2015,1,8,1.6
11/01/2015,1,9,2.8
11/01/2015,1,10,5.1
11/01/2015,1,11,10.5
11/01/2015,1,12,15.9
11/01/2015,1,13,15.2
11/01/2015,1,14,18.2
11/01/2015,1,15,14.8
11/01/2015,1,16,8.8
11/01/2015,1,17,12.0
11/01/2015,1,18,7.3
11/01/2015,1,19,7.4
11/01/2015,1,20,6.6
11/01/2015,1,21,3.6
11/01/2015,1,22,6.0
11/01/2015,1,23,3.9
12/01/2015,1,0,1.5
12/01/2015,1,9,43.1
12/01/2015,1,1,22.0
