Date,Month,Hour Taken,Pollutant
01/07/2015,7,0,4.2
01/07/2015,7,1,3.5
01/07/2015,7,2,0.8
01/07/2015,7,3,1.7
01/07/2015,7,4,2.2
03/07/2015,7,1,52.0
03/07/2015,7,1,152.5
03/07/2015,7,1,265.9
03/07/2015,7,1,351.8
03/07/2015,7,1,438.4
03/07/2015,7,15,50.4
03/07/2015,7,16,30.2
03/07/2015,7,17,17.6
03/07/2015,7,18,15.3
03/07/2015,7,19,6.7
03/07/2015,7,20,4.1
03/07/2015,7,21,2.8
03/07/2015,7,22,2.5
03/07/2015,7,23,2.0
04/07/2015,7,0,1.3
04/07/2015,7,1,3.2
04/07/2015,7,2,2.3
04/07/2015,7,3,2.6
04/07/2015,7,4,6.8
04/07/2015,7,5,16.6
04/07/2015,7,6,21.9
04/07/2015,7,7,26.8
04/07/2015,7,8,29.4
04/07/2015,7,9,33.0
04/07/2015,7,10,28.4
04/07/2015,7,11,28.6
04/07/2015,7,12,22.1
04/07/2015,7,13,21.7
04/07/2015,7,14,17.0
04/07/2015,7,15,15.2
04/07/2015,7,16,17.2
04/07/2015,7,17,13.5
04/07/2015,7,18,10.9
04/07/2015,7,19,9.1
04/07/2015,7,20,6.8
04/07/2015,7,21,11.6
04/07/2015,7,22,11.5
04/07/2015,7,23,10.0
05/07/2015,7,0,14.9
05/07/2015,7,1,6.9
05/07/2015,7,2,7.0
05/07/2015,7,3,7.3
05/07/2015,7,4,4.2
05/07/2015,7,5,9.1
05/07/2015,7,6,19.3
05/07/2015,7,7,11.1
05/07/2015,7,8,17.5
05/07/2015,7,9,22.8
05/07/2015,7,10,22.7
05/07/2015,7,11,28.1
05/07/2015,7,12,27.1
05/07/2015,7,13,14.2
05/07/2015,7,14,39.1
05/07/2015,7,15,28.4
05/07/2015,7,16,32.0
05/07/2015,7,17,29.2
05/07/2015,7,18,15.3
05/07/2015,7,19,11.7
05/07/2015,7,20,16.3
05/07/2015,7,21,9.3
05/07/2015,7,22,10.0
05/07/2015,7,23,11.0
06/07/2015,7,0,2.0
06/07/2015,7,1,3.9
06/07/2015,7,2,3.3
06/07/2015,7,3,2.9
06/07/2015,7,4,22.4
06/07/2015,7,5,63.9
06/07/2015,7,6,84.8
06/07/2015,7,7,77.3
06/07/2015,7,8,66.5
06/07/2015,7,9,41.5
06/07/2015,7,10,65.9
06/07/2015,7,11,68.7
06/07/2015,7,12,66.6
06/07/2015,7,13,68.7
06/07/2015,7,14,67.0
06/07/2015,7,15,63.0
06/07/2015,7,16,53.1
06/07/2015,7,17,44.2
06/07/2015,7,18,33.5
06/07/2015,7,19,26.3
06/07/2015,7,20,13.6
06/07/2015,7,21,10.7
06/07/2015,7,22,8.1
06/07/2015,7,23,4.1
07/07/2015,7,0,3.1
07/07/2015,7,1,1.4
07/07/2015,7,2,2.5
07/07/2015,7,3,2.5
07/07/2015,7,4,16.5
07/07/2015,7,5,28.4
07/07/2015,7,6,62.0
07/07/2015,7,7,69.8
07/07/2015,7,8,86.0
07/07/2015,7,9,37.5
07/07/2015,7,10,36.6
07/07/2015,7,11,25.6
07/07/2015,7,12,27.6
07/07/2015,7,13,36.9
07/07/2015,7,14,30.3
07/07/2015,7,15,27.3
07/07/2015,7,16,18.8
07/07/2015,7,17,17.8
07/07/2015,7,18,31.1
07/07/2015,7,19,19.0
07/07/2015,7,20,10.5
07/07/2015,7,21,5.3
07/07/2015,7,22,5.8
07/07/2015,7,23,8.4
08/07/2015,7,0,6.6
08/07/2015,7,1,3.4
08/07/2015,7,2,0.2
08/07/2015,7,3,0.9
08/07/2015,7,4,4.6
08/07/2015,7,5,12.3
08/07/2015,7,6,31.1
08/07/2015,7,7,26.7
08/07/2015,7,8,25.3
08/07/2015,7,9,23.3
08/07/2015,7,10,15.6
08/07/2015,7,11,14.7
08/07/2015,7,12,14.0
08/07/2015,7,13,18.8
08/07/2015,7,14,20.9
08/07/2015,7,15,17.8
08/07/2015,7,16,18.2
08/07/2015,7,17,9.4
08/07/2015,7,18,7.0
08/07/2015,7,19,2.5
08/07/2015,7,20,1.7
08/07/2015,7,21,2.7
08/07/2015,7,22,1.5
08/07/2015,7,23,0.3
09/07/2015,7,0,0.0
09/07/2015,7,1,0.4
09/07/2015,7,2,0.1
09/07/2015,7,3,0.3
09/07/2015,7,4,2.4
09/07/2015,7,5,9.0
09/07/2015,7,6,30.3
09/07/2015,7,7,38.1
09/07/2015,7,8,33.8
09/07/2015,7,9,22.6
09/07/2015,7,10,27.6
09/07/2015,7,11,29.1
09/07/2015,7,12,18.1
09/07/2015,7,13,24.5
09/07/2015,7,14,23.3
09/07/2015,7,15,23.7
09/07/2015,7,16,25.5
09/07/2015,7,17,22.1
09/07/2015,7,18,20.4
09/07/2015,7,19,2.3
09/07/2015,7,20,0.2
09/07/2015,7,21,6.5
09/07/2015,7,22,13.4
09/07/2015,7,23,12.3
10/07/2015,7,0,3.1
10/07/2015,7,1,4.7
10/07/2015,7,2,3.8
10/07/2015,7,3,8.7
10/07/2015,7,4,29.6
10/07/2015,7,5,60.6
10/07/2015,7,6,80.4
10/07/2015,7,7,100.2
10/07/2015,7,8,78.8
10/07/2015,7,9,58.8
10/07/2015,7,10,53.0
10/07/2015,7,11,48.2
10/07/2015,7,12,48.8
10/07/2015,7,13,44.6
10/07/2015,7,14,40.7
10/07/2015,7,15,41.7
10/07/2015,7,16,22.9
10/07/2015,7,17,5.8
10/07/2015,7,18,3.3
10/07/2015,7,19,1.0
10/07/2015,7,20,0.4
10/07/2015,7,21,2.2
10/07/2015,7,22,5.0
10/07/2015,7,23,15.0
11/07/2015,7,0,4.0
11/07/2015,7,1,1.7
11/07/2015,7,2,1.5
11/07/2015,7,3,1.6
11/07/2015,7,4,4.1
11/07/2015,7,5,1.9
11/07/2015,7,6,9.5
11/07/2015,7,7,13.8
11/07/2015,7,8,20.5
11/07/2015,7,9,17.8
11/07/2015,7,10,24.2
11/07/2015,7,11,29.9
11/07/2015,7,12,39.9
11/07/2015,7,13,45.6
11/07/2015,7,14,27.8
11/07/2015,7,15,32.5
11/07/2015,7,16,31.5
11/07/2015,7,17,44.7
11/07/2015,7,18,41.6
11/07/2015,7,19,20.3
11/07/2015,7,20,14.8
11/07/2015,7,21,23.9
11/07/2015,7,22,7.9
11/07/2015,7,23,5.1
12/07/2015,7,0,6.0
12/07/2015,7,1,5.0
12/07/2015,7,2,4.0
12/07/2015,7,3,8.1
12/07/2015,7,4,1.8
12/07/2015,7,5,0.8
12/07/2015,7,6,3.1
12/07/2015,7,7,3.8
12/07/2015,7,8,3.7
12/07/2015,7,9,7.6
12/07/2015,7,10,9.6
12/07/2015,7,11,11.4
12/07/2015,7,12,8.9
12/07/2015,7,13,10.1
12/07/2015,7,14,8.9
12/07/2015,7,15,10.6
12/07/2015,7,16,11.0
12/07/2015,7,17,10.6
12/07/2015,7,18,9.7
12/07/2015,7,19,7.6
12/07/2015,7,20,5.2
12/07/2015,7,21,10.1
12/07/2015,7,22,4.5
12/07/2015,7,23,10.1
13/07/2015,7,0,2.3
13/07/2015,7,1,2.0
13/07/2015,7,2,1.9
13/07/2015,7,3,4.3
