Date,Month,Hour Taken,Pollutant
16/06/2010,6,0,0.0
16/06/2010,6,1,0.0
16/06/2010,6,2,0.8
16/06/2010,6,3,7.1
16/06/2010,6,4,27.8
16/06/2010,6,5,59.7
16/06/2010,6,6,28.6
16/06/2010,6,7,66.4
16/06/2010,6,8,96.0
16/06/2010,6,9,47.6
16/06/2010,6,10,65.6
16/06/2010,6,11,24.5
16/06/2010,6,12,32.5
16/06/2010,6,13,23.0
16/06/2010,6,14,30.7
16/06/2010,6,15,28.1
16/06/2010,6,16,13.9
16/06/2010,6,17,23.0
16/06/2010,6,18,7.6
16/06/2010,6,19,5.3
16/06/2010,6,20,5.8
16/06/2010,6,21,6.7
16/06/2010,6,22,2.8
16/06/2010,6,23,1.3
17/06/2010,6,0,1.2
17/06/2010,6,1,0.1
17/06/2010,6,2,0.6
17/06/2010,6,3,0.1
17/06/2010,6,4,9.7
17/06/2010,6,5,32.6
17/06/2010,6,6,69.7
17/06/2010,6,7,92.7
17/06/2010,6,8,109.9
17/06/2010,6,9,78.9
17/06/2010,6,10,62.8
17/06/2010,6,11,54.1
17/06/2010,6,12,31.4
17/06/2010,6,14,12.5
17/06/2010,6,15,15.9
17/06/2010,6,16,17.7
17/06/2010,6,17,22.4
17/06/2010,6,18,18.1
17/06/2010,6,19,14.9
17/06/2010,6,20,13.1
17/06/2010,6,21,10.5
17/06/2010,6,22,10.0
17/06/2010,6,23,3.8
18/06/2010,6,0,2.8
18/06/2010,6,1,0.9
18/06/2010,6,2,0.4
18/06/2010,6,3,1.5
18/06/2010,6,4,5.8
18/06/2010,6,5,18.7
18/06/2010,6,6,34.3
18/06/2010,6,7,57.1
18/06/2010,6,8,43.7
18/06/2010,6,9,45.6
18/06/2010,6,10,45.4
18/06/2010,6,11,51.6
18/06/2010,6,12,57.2
18/06/2010,6,13,57.5
18/06/2010,6,14,48.6
18/06/2010,6,15,86.4
18/06/2010,6,16,49.9
18/06/2010,6,17,70.8
18/06/2010,6,18,29.7
18/06/2010,6,19,14.0
18/06/2010,6,20,0.9
18/06/2010,6,21,6.4
18/06/2010,6,22,6.4
18/06/2010,6,23,3.6
19/06/2010,6,0,2.1
19/06/2010,6,1,2.0
19/06/2010,6,2,1.0
19/06/2010,6,3,0.6
19/06/2010,6,4,0.4
19/06/2010,6,5,0.8
19/06/2010,6,6,2.5
19/06/2010,6,7,7.6
19/06/2010,6,8,9.5
19/06/2010,6,9,11.4
19/06/2010,6,10,13.0
19/06/2010,6,11,14.4
19/06/2010,6,12,10.8
19/06/2010,6,13,9.2
19/06/2010,6,14,7.5
19/06/2010,6,15,13.5
19/06/2010,6,16,12.4
19/06/2010,6,17,10.6
19/06/2010,6,18,9.1
19/06/2010,6,19,8.7
19/06/2010,6,20,5.9
19/06/2010,6,21,1.8
19/06/2010,6,22,2.1
19/06/2010,6,23,0.6
20/06/2010,6,0,0.1
20/06/2010,6,1,0.4
20/06/2010,6,2,0.6
20/06/2010,6,3,1.0
20/06/2010,6,4,9.0
20/06/2010,6,5,14.7
20/06/2010,6,6,14.0
20/06/2010,6,7,11.4
20/06/2010,6,8,18.7
20/06/2010,6,9,23.1
20/06/2010,6,10,15.9
20/06/2010,6,11,21.6
20/06/2010,6,12,18.6
20/06/2010,6,13,13.3
20/06/2010,6,14,12.1
20/06/2010,6,15,8.4
20/06/2010,6,16,9.3
20/06/2010,6,17,11.5
20/06/2010,6,18,11.8
20/06/2010,6,19,7.5
20/06/2010,6,20,8.2
20/06/2010,6,21,7.9
20/06/2010,6,22,5.5
20/06/2010,6,23,1.2
21/06/2010,6,0,0.9
21/06/2010,6,1,0.0
21/06/2010,6,2,0.3
21/06/2010,6,3,1.4
21/06/2010,6,4,4.2
21/06/2010,6,5,15.8
21/06/2010,6,6,41.7
21/06/2010,6,7,64.5
21/06/2010,6,8,41.8
21/06/2010,6,9,40.1
21/06/2010,6,10,48.5
21/06/2010,6,11,34.5
21/06/2010,6,12,27.8
21/06/2010,6,13,30.3
21/06/2010,6,14,29.2
21/06/2010,6,15,25.6
21/06/2010,6,16,29.9
21/06/2010,6,17,10.6
21/06/2010,6,18,8.0
21/06/2010,6,19,2.9
21/06/2010,6,20,0.1
21/06/2010,6,21,0.0
21/06/2010,6,22,0.0
21/06/2010,6,23,0.1
22/06/2010,6,0,0.0
22/06/2010,6,1,0.3
22/06/2010,6,2,1.2
22/06/2010,6,3,3.1
22/06/2010,6,4,12.6
22/06/2010,6,5,21.7
22/06/2010,6,6,76.8
22/06/2010,6,7,77.0
22/06/2010,6,8,64.5
22/06/2010,6,9,25.6
22/06/2010,6,10,40.4
22/06/2010,6,11,35.1
22/06/2010,6,12,27.2
22/06/2010,6,13,12.4
22/06/2010,6,14,24.3
22/06/2010,6,15,32.5
22/06/2010,6,16,20.7
22/06/2010,6,17,14.7
22/06/2010,6,18,7.9
22/06/2010,6,19,4.0
22/06/2010,6,20,2.5
22/06/2010,6,21,9.0
22/06/2010,6,22,4.0
22/06/2010,6,23,3.1
23/06/2010,6,0,1.0
23/06/2010,6,1,2.2
23/06/2010,6,2,2.7
23/06/2010,6,3,13.5
23/06/2010,6,4,46.3
23/06/2010,6,5,54.0
23/06/2010,6,6,71.7
23/06/2010,6,7,84.7
23/06/2010,6,8,76.5
23/06/2010,6,9,39.1
23/06/2010,6,10,44.4
23/06/2010,6,11,29.4
23/06/2010,6,12,34.3
23/06/2010,6,13,36.6
23/06/2010,6,14,33.9
23/06/2010,6,15,18.4
23/06/2010,6,16,35.9
23/06/2010,6,17,24.9
23/06/2010,6,18,20.5
23/06/2010,6,19,13.9
23/06/2010,6,20,14.2
23/06/2010,6,21,17.2
23/06/2010,6,22,20.4
23/06/2010,6,23,7.3
24/06/2010,6,0,1.6
24/06/2010,6,1,3.7
24/06/2010,6,2,3.6
24/06/2010,6,3,1.5
24/06/2010,6,4,2.3
24/06/2010,6,5,12.0
24/06/2010,6,6,36.3
24/06/2010,6,7,34.7
24/06/2010,6,8,38.3
24/06/2010,6,9,31.2
24/06/2010,6,10,33.1
24/06/2010,6,11,25.0
24/06/2010,6,12,29.8
24/06/2010,6,13,21.6
24/06/2010,6,14,28.3
24/06/2010,6,15,27.8
24/06/2010,6,16,14.4
24/06/2010,6,17,14.5
24/06/2010,6,18,15.0
24/06/2010,6,19,6.5
24/06/2010,6,20,2.9
24/06/2010,6,21,0.2
24/06/2010,6,22,1.8
24/06/2010,6,23,0.0
25/06/2010,6,0,0.0
25/06/2010,6,1,0.0
25/06/2010,6,2,0.5
25/06/2010,6,3,4.4
25/06/2010,6,4,33.7
25/06/2010,6,5,97.7
25/06/2010,6,6,135.1
25/06/2010,6,7,117.4
25/06/2010,6,8,70.1
25/06/2010,6,9,44.4
25/06/2010,6,10,45.4
25/06/2010,6,11,39.3
25/06/2010,6,12,53.7
25/06/2010,6,13,29.4
25/06/2010,6,14,41.6
25/06/2010,6,15,22.0
25/06/2010,6,16,11.1
25/06/2010,6,17,7.0
25/06/2010,6,18,12.2
25/06/2010,6,19,5.0
25/06/2010,6,20,2.6
25/06/2010,6,21,0.3
25/06/2010,6,22,1.9
25/06/2010,6,23,0.0
26/06/2010,6,0,9.7
26/06/2010,6,1,22.0
26/06/2010,6,2,8.7
26/06/2010,6,3,2.4
26/06/2010,6,4,12.6
26/06/2010,6,5,21.6
26/06/2010,6,6,29.3
26/06/2010,6,7,49.1
26/06/2010,6,8,47.2
26/06/2010,6,9,59.0
26/06/2010,6,10,53.0
26/06/2010,6,11,54.7
26/06/2010,6,12,28.0
26/06/2010,6,13,20.0
26/06/2010,6,14,24.3
26/06/2010,6,15,17.9
26/06/2010,6,16,14.9
26/06/2010,6,17,11.6
26/06/2010,6,18,7.4
26/06/2010,6,19,1.4
26/06/2010,6,20,2.1
26/06/2010,6,21,0.0
26/06/2010,6,22,0.0
26/06/2010,6,23,0.0
27/06/2010,6,0,0.0
27/06/2010,6,1,0.0
27/06/2010,6,2,0.0
27/06/2010,6,3,4.4
27/06/2010,6,4,6.0
27/06/2010,6,5,6.4
27/06/2010,6,6,18.1
27/06/2010,6,7,13.8
27/06/2010,6,8,14.9
27/06/2010,6,9,25.5
27/06/2010,6,10,20.6
27/06/2010,6,11,21.1
27/06/2010,6,12,22.0
27/06/2010,6,13,21.0
27/06/2010,6,14,8.5
27/06/2010,6,15,6.3
27/06/2010,6,16,15.1
27/06/2010,6,17,17.1
27/06/2010,6,18,19.8
27/06/2010,6,19,19.5
27/06/2010,6,20,20.6
27/06/2010,6,21,20.8
27/06/2010,6,22,12.8
27/06/2010,6,23,10.9
28/06/2010,6,0,5.4
28/06/2010,6,1,3.4
28/06/2010,6,2,2.6
28/06/2010,6,3,2.0
28/06/2010,6,4,24.8
28/06/2010,6,5,46.3
28/06/2010,6,6,89.6
28/06/2010,6,7,62.8
28/06/2010,6,8,55.2
28/06/2010,6,9,52.0
28/06/2010,6,10,42.4
28/06/2010,6,11,41.7
28/06/2010,6,12,36.6
28/06/2010,6,13,41.4
28/06/2010,6,14,58.9
28/06/2010,6,15,70.2
28/06/2010,6,16,68.0
28/06/2010,6,17,41.7
28/06/2010,6,18,47.0
28/06/2010,6,19,34.6
28/06/2010,6,20,33.7
28/06/2010,6,21,46.9
28/06/2010,6,22,48.4
28/06/2010,6,23,36.7
29/06/2010,6,0,38.6
29/06/2010,6,1,23.7
29/06/2010,6,2,45.4
29/06/2010,6,3,13.7
29/06/2010,6,4,12.4
29/06/2010,6,5,10.2
29/06/2010,6,6,37.9
29/06/2010,6,7,47.4
29/06/2010,6,8,42.8
29/06/2010,6,9,41.0
29/06/2010,6,10,42.7
29/06/2010,6,11,31.3
29/06/2010,6,12,27.5
29/06/2010,6,13,27.2
29/06/2010,6,14,27.6
29/06/2010,6,15,33.9
29/06/2010,6,16,26.9
29/06/2010,6,17,31.4
29/06/2010,6,18,18.0
29/06/2010,6,19,9.0
29/06/2010,6,20,2.4
29/06/2010,6,21,1.7
29/06/2010,6,22,0.0
29/06/2010,6,23,0.0
30/06/2010,6,0,0.0
30/06/2010,6,1,0.0
30/06/2010,6,2,0.0
30/06/2010,6,3,3.1
30/06/2010,6,4,11.6
30/06/2010,6,5,51.1
30/06/2010,6,6,95.9
30/06/2010,6,7,127.7
30/06/2010,6,8,95.3
30/06/2010,6,9,76.2
30/06/2010,6,10,64.1
30/06/2010,6,11,66.1
30/06/2010,6,12,72.2
30/06/2010,6,13,59.6
30/06/2010,6,14,78.9
30/06/2010,6,15,81.6
30/06/2010,6,16,47.8
30/06/2010,6,17,21.2
30/06/2010,6,18,9.0
30/06/2010,6,19,8.6
30/06/2010,6,20,0.4
30/06/2010,6,21,0.1
30/06/2010,6,22,3.7
30/06/2010,6,23,0.3
