Date,Month,Hour Taken,Pollutant
01/03/2017,3,0,1.5
01/03/2017,3,1,0.1
01/03/2017,3,2,0.0
01/03/2017,3,3,0.0
01/03/2017,3,4,1.4
01/03/2017,3,5,14.2
01/03/2017,3,6,59.3
01/03/2017,3,7,125.8
01/03/2017,3,8,145.4
01/03/2017,3,9,114.0
01/03/2017,3,10,59.5
01/03/2017,3,11,39.9
01/03/2017,3,12,33.5
01/03/2017,3,13,34.4
01/03/2017,3,14,32.9
01/03/2017,3,15,36.9
01/03/2017,3,16,49.8
01/03/2017,3,17,47.0
01/03/2017,3,18,56.2
01/03/2017,3,19,72.0
01/03/2017,3,20,31.1
01/03/2017,3,21,11.7
01/03/2017,3,22,9.1
01/03/2017,3,23,3.7
02/03/2017,3,0,0.2
02/03/2017,3,1,0.0
02/03/2017,3,2,0.0
02/03/2017,3,3,0.0
02/03/2017,3,4,1.8
02/03/2017,3,5,3.4
02/03/2017,3,6,9.0
02/03/2017,3,7,35.5
02/03/2017,3,8,37.7
02/03/2017,3,9,25.5
02/03/2017,3,10,27.8
02/03/2017,3,11,28.0
02/03/2017,3,12,19.5
02/03/2017,3,13,20.9
02/03/2017,3,14,23.7
02/03/2017,3,15,42.7
02/03/2017,3,16,73.3
02/03/2017,3,17,97.4
02/03/2017,3,18,113.1
02/03/2017,3,19,60.4
02/03/2017,3,20,30.7
02/03/2017,3,21,18.0
02/03/2017,3,22,12.6
02/03/2017,3,23,7.0
03/03/2017,3,0,7.7
03/03/2017,3,1,3.2
03/03/2017,3,2,1.7
03/03/2017,3,3,2.7
03/03/2017,3,4,4.9
03/03/2017,3,5,20.3
03/03/2017,3,6,51.2
03/03/2017,3,7,65.4
03/03/2017,3,8,72.4
03/03/2017,3,9,68.0
03/03/2017,3,10,52.1
03/03/2017,3,11,42.3
03/03/2017,3,12,52.6
03/03/2017,3,13,25.8
03/03/2017,3,14,21.3
03/03/2017,3,15,30.8
03/03/2017,3,16,33.9
03/03/2017,3,17,29.6
03/03/2017,3,18,19.0
03/03/2017,3,19,9.0
03/03/2017,3,20,9.8
03/03/2017,3,21,5.9
03/03/2017,3,22,7.6
03/03/2017,3,23,14.2
04/03/2017,3,0,15.8
04/03/2017,3,1,9.4
04/03/2017,3,2,6.1
04/03/2017,3,3,5.6
04/03/2017,3,4,9.9
04/03/2017,3,5,20.1
04/03/2017,3,6,38.2
04/03/2017,3,7,53.7
04/03/2017,3,8,58.6
04/03/2017,3,9,50.6
04/03/2017,3,10,48.9
04/03/2017,3,11,45.1
04/03/2017,3,12,45.6
04/03/2017,3,13,39.3
04/03/2017,3,14,34.3
04/03/2017,3,15,52.2
04/03/2017,3,16,50.6
04/03/2017,3,17,44.0
04/03/2017,3,18,42.3
04/03/2017,3,19,31.8
04/03/2017,3,20,30.1
04/03/2017,3,21,21.4
04/03/2017,3,22,15.6
04/03/2017,3,23,16.3
05/03/2017,3,0,13.9
05/03/2017,3,1,5.5
05/03/2017,3,2,5.5
05/03/2017,3,3,5.5
05/03/2017,3,4,2.0
05/03/2017,3,5,8.3
05/03/2017,3,6,12.1
05/03/2017,3,7,15.0
05/03/2017,3,8,13.4
05/03/2017,3,9,21.9
05/03/2017,3,10,29.5
05/03/2017,3,11,12.5
05/03/2017,3,12,19.8
05/03/2017,3,13,33.3
05/03/2017,3,14,56.4
05/03/2017,3,15,41.4
05/03/2017,3,16,22.5
05/03/2017,3,17,8.0
05/03/2017,3,18,6.0
05/03/2017,3,19,7.4
05/03/2017,3,20,5.5
05/03/2017,3,21,3.8
05/03/2017,3,22,2.7
05/03/2017,3,23,2.8
06/03/2017,3,0,1.7
06/03/2017,3,1,0.7
06/03/2017,3,2,0.6
06/03/2017,3,3,0.3
06/03/2017,3,4,1.0
06/03/2017,3,5,7.5
06/03/2017,3,6,3.9
06/03/2017,3,7,76.8
06/03/2017,3,8,131.3
06/03/2017,3,9,45.8
06/03/2017,3,10,35.7
06/03/2017,3,11,30.3
06/03/2017,3,12,32.6
06/03/2017,3,13,36.8
06/03/2017,3,14,26.8
06/03/2017,3,15,38.8
06/03/2017,3,16,44.0
06/03/2017,3,17,41.1
06/03/2017,3,18,35.8
06/03/2017,3,19,25.0
06/03/2017,3,20,7.5
06/03/2017,3,21,4.9
06/03/2017,3,22,5.2
06/03/2017,3,23,3.7
07/03/2017,3,0,1.1
07/03/2017,3,1,0.1
07/03/2017,3,2,0.7
07/03/2017,3,3,0.1
07/03/2017,3,4,1.4
07/03/2017,3,5,1.9
07/03/2017,3,6,18.0
07/03/2017,3,7,73.5
07/03/2017,3,8,102.2
07/03/2017,3,9,89.9
07/03/2017,3,10,48.2
07/03/2017,3,11,56.2
