Date,Month,Hour Taken,Pollutant
01/05/2016,5,0,13.6
01/05/2016,5,1,9.1
01/05/2016,5,2,9.1
01/05/2016,5,3,6.4
01/05/2016,5,4,8.4
01/05/2016,5,5,14.7
01/05/2016,5,6,11.0
01/05/2016,5,7,21.9
01/05/2016,5,8,23.1
01/05/2016,5,9,33.4
01/05/2016,5,10,35.3
01/05/2016,5,11,37.1
01/05/2016,5,12,42.0
01/05/2016,5,13,40.5
01/05/2016,5,14,47.4
01/05/2016,5,15,53.6
01/05/2016,5,16,38.4
01/05/2016,5,17,48.3
01/05/2016,5,18,39.4
01/05/2016,5,19,30.9
01/05/2016,5,20,25.4
01/05/2016,5,21,17.4
01/05/2016,5,22,20.5
01/05/2016,5,23,4.2
02/05/2016,5,0,2.4
02/05/2016,5,1,2.9
02/05/2016,5,2,3.0
02/05/2016,5,3,3.0
02/05/2016,5,4,4.9
02/05/2016,5,5,10.8
02/05/2016,5,6,9.1
02/05/2016,5,7,12.4
02/05/2016,5,8,10.5
02/05/2016,5,9,9.5
02/05/2016,5,10,23.2
02/05/2016,5,11,20.4
02/05/2016,5,12,18.9
02/05/2016,5,13,13.4
02/05/2016,5,14,12.7
02/05/2016,5,15,13.9
02/05/2016,5,16,10.5
02/05/2016,5,17,10.1
02/05/2016,5,18,9.9
02/05/2016,5,19,6.2
02/05/2016,5,20,5.6
02/05/2016,5,21,4.5
02/05/2016,5,22,2.2
02/05/2016,5,23,0.9
03/05/2016,5,0,0.3
03/05/2016,5,1,0.1
03/05/2016,5,2,0.2
03/05/2016,5,3,0.3
03/05/2016,5,4,2.2
03/05/2016,5,5,9.1
03/05/2016,5,6,41.3
03/05/2016,5,7,31.0
03/05/2016,5,8,33.5
03/05/2016,5,9,26.8
03/05/2016,5,10,31.3
03/05/2016,5,11,35.0
03/05/2016,5,12,28.0
03/05/2016,5,13,27.4
03/05/2016,5,14,40.5
03/05/2016,5,15,37.6
03/05/2016,5,16,35.2
03/05/2016,5,17,32.9
03/05/2016,5,18,21.2
03/05/2016,5,19,17.5
03/05/2016,5,20,17.6
03/05/2016,5,21,10.9
03/05/2016,5,22,17.1
03/05/2016,5,23,9.3
04/05/2016,5,0,5.8
04/05/2016,5,1,4.6
04/05/2016,5,2,4.9
04/05/2016,5,3,13.7
04/05/2016,5,4,43.0
04/05/2016,5,5,65.8
04/05/2016,5,6,98.9
04/05/2016,5,7,90.2
04/05/2016,5,8,84.8
04/05/2016,5,9,60.2
04/05/2016,5,10,51.2
04/05/2016,5,11,54.5
04/05/2016,5,12,29.8
04/05/2016,5,13,27.5
04/05/2016,5,14,29.5
04/05/2016,5,15,22.7
04/05/2016,5,16,27.4
04/05/2016,5,17,24.3
04/05/2016,5,18,27.3
04/05/2016,5,19,19.4
04/05/2016,5,20,13.8
04/05/2016,5,21,29.2
04/05/2016,5,22,15.0
04/05/2016,5,23,6.0
05/05/2016,5,0,1.3
05/05/2016,5,1,1.1
05/05/2016,5,2,2.3
05/05/2016,5,3,9.1
05/05/2016,5,4,31.8
05/05/2016,5,5,49.2
05/05/2016,5,6,92.5
05/05/2016,5,7,103.6
05/05/2016,5,8,75.2
