Date,Month,Hour Taken,Pollutant
01/11/2012,11,0,35.9
01/11/2012,11,1,34.0
01/11/2012,11,2,16.2
01/11/2012,11,3,17.0
01/11/2012,11,4,31.6
01/11/2012,11,5,36.6
01/11/2012,11,6,131.8
01/11/2012,11,7,182.5
01/11/2012,11,8,124.6
01/11/2012,11,9,69.8
01/11/2012,11,10,58.5
01/11/2012,11,11,34.0
01/11/2012,11,12,36.8
01/11/2012,11,13,27.2
01/11/2012,11,14,29.7
01/11/2012,11,15,49.4
01/11/2012,11,16,78.9
01/11/2012,11,17,105.2
01/11/2012,11,18,87.9
01/11/2012,11,19,77.4
01/11/2012,11,20,27.2
01/11/2012,11,21,24.9
01/11/2012,11,22,6.6
01/11/2012,11,23,2.7
02/11/2012,11,0,1.0
02/11/2012,11,1,0.5
02/11/2012,11,2,0.6
02/11/2012,11,3,5.3
02/11/2012,11,4,14.7
02/11/2012,11,5,14.5
02/11/2012,11,6,39.9
02/11/2012,11,7,105.2
02/11/2012,11,8,111.4
02/11/2012,11,9,93.0
02/11/2012,11,10,76.1
02/11/2012,11,11,66.1
02/11/2012,11,12,34.6
02/11/2012,11,13,30.0
02/11/2012,11,14,28.1
02/11/2012,11,15,35.4
02/11/2012,11,16,32.5
02/11/2012,11,17,32.4
02/11/2012,11,18,42.4
02/11/2012,11,19,29.9
02/11/2012,11,20,34.4
02/11/2012,11,21,24.5
02/11/2012,11,22,26.3
02/11/2012,11,23,22.5
03/11/2012,11,0,38.1
03/11/2012,11,1,27.8
03/11/2012,11,2,32.3
03/11/2012,11,3,24.8
03/11/2012,11,4,18.1
03/11/2012,11,5,34.8
03/11/2012,11,6,45.3
03/11/2012,11,7,54.4
03/11/2012,11,8,79.5
03/11/2012,11,9,63.9
03/11/2012,11,10,47.0
03/11/2012,11,11,23.4
03/11/2012,11,12,30.5
03/11/2012,11,13,35.7
03/11/2012,11,14,44.1
03/11/2012,11,15,61.6
03/11/2012,11,16,86.7
03/11/2012,11,17,72.5
03/11/2012,11,18,67.1
03/11/2012,11,19,82.8
03/11/2012,11,20,69.3
03/11/2012,11,21,39.1
03/11/2012,11,22,49.6
03/11/2012,11,23,48.0
04/11/2012,11,0,42.8
04/11/2012,11,1,36.0
04/11/2012,11,2,12.9
04/11/2012,11,3,11.9
04/11/2012,11,4,5.3
04/11/2012,11,5,7.0
04/11/2012,11,6,14.8
04/11/2012,11,7,17.5
04/11/2012,11,8,12.0
04/11/2012,11,9,22.9
04/11/2012,11,10,25.3
04/11/2012,11,11,51.9
04/11/2012,11,12,50.6
04/11/2012,11,13,55.2
04/11/2012,11,14,39.5
04/11/2012,11,15,18.3
04/11/2012,11,16,15.0
04/11/2012,11,17,23.5
04/11/2012,11,18,41.7
04/11/2012,11,19,26.9
04/11/2012,11,20,22.1
04/11/2012,11,21,16.2
04/11/2012,11,22,1.8
04/11/2012,11,23,4.5
05/11/2012,11,0,1.9
05/11/2012,11,1,0.3
05/11/2012,11,2,0.2
05/11/2012,11,3,0.5
05/11/2012,11,4,15.1
05/11/2012,11,5,9.5
05/11/2012,11,6,4.7
05/11/2012,11,7,25.3
05/11/2012,11,8,36.2
05/11/2012,11,9,15.4
05/11/2012,11,10,20.4
05/11/2012,11,11,39.0
05/11/2012,11,12,23.5
05/11/2012,11,13,22.4
05/11/2012,11,14,26.7
05/11/2012,11,15,9.5
05/11/2012,11,16,28.3
05/11/2012,11,17,55.5
05/11/2012,11,18,62.7
05/11/2012,11,19,179.3
05/11/2012,11,20,274.2
05/11/2012,11,21,365.1
05/11/2012,11,22,239.3
05/11/2012,11,23,84.4
06/11/2012,11,0,26.7
06/11/2012,11,1,16.6
06/11/2012,11,2,1.1
06/11/2012,11,3,2.2
06/11/2012,11,4,0.1
06/11/2012,11,5,3.5
06/11/2012,11,6,8.2
06/11/2012,11,7,43.6
06/11/2012,11,8,47.8
06/11/2012,11,9,44.5
06/11/2012,11,10,30.4
06/11/2012,11,11,32.2
06/11/2012,11,12,26.7
06/11/2012,11,13,24.9
06/11/2012,11,14,27.9
06/11/2012,11,15,27.5
06/11/2012,11,16,36.8
06/11/2012,11,17,21.9
06/11/2012,11,18,14.3
06/11/2012,11,19,14.8
06/11/2012,11,20,10.9
06/11/2012,11,21,5.1
06/11/2012,11,22,2.7
06/11/2012,11,23,1.8
07/11/2012,11,0,0.0
07/11/2012,11,1,0.1
07/11/2012,11,2,0.0
07/11/2012,11,3,0.4
07/11/2012,11,4,0.0
07/11/2012,11,5,0.7
07/11/2012,11,6,9.1
07/11/2012,11,7,22.1
07/11/2012,11,8,39.9
07/11/2012,11,9,63.3
07/11/2012,11,10,35.1
07/11/2012,11,11,42.3
07/11/2012,11,12,34.9
07/11/2012,11,13,28.5
07/11/2012,11,14,29.0
07/11/2012,11,15,51.2
07/11/2012,11,16,67.5
07/11/2012,11,17,39.2
07/11/2012,11,18,61.6
07/11/2012,11,19,34.7
07/11/2012,11,20,12.3
07/11/2012,11,21,7.2
07/11/2012,11,22,2.6
07/11/2012,11,23,1.5
08/11/2012,11,0,0.6
08/11/2012,11,1,0.0
08/11/2012,11,2,0.0
08/11/2012,11,3,0.2
08/11/2012,11,4,0.6
08/11/2012,11,5,1.1
08/11/2012,11,6,8.4
08/11/2012,11,7,30.2
08/11/2012,11,8,39.8
08/11/2012,11,9,39.1
08/11/2012,11,10,37.6
08/11/2012,11,11,34.1
08/11/2012,11,12,42.4
08/11/2012,11,13,39.2
08/11/2012,11,14,33.8
08/11/2012,11,15,48.5
08/11/2012,11,16,41.2
08/11/2012,11,17,53.3
08/11/2012,11,18,49.1
08/11/2012,11,19,51.8
08/11/2012,11,20,37.4
08/11/2012,11,21,56.4
08/11/2012,11,22,73.3
08/11/2012,11,23,48.7
09/11/2012,11,0,31.4
09/11/2012,11,1,34.3
09/11/2012,11,2,18.9
09/11/2012,11,3,23.6
09/11/2012,11,4,10.4
09/11/2012,11,5,11.9
09/11/2012,11,6,43.0
09/11/2012,11,7,113.9
09/11/2012,11,8,125.9
09/11/2012,11,9,130.2
09/11/2012,11,10,110.8
09/11/2012,11,11,60.0
09/11/2012,11,12,66.7
09/11/2012,11,13,83.4
09/11/2012,11,14,92.0
09/11/2012,11,15,125.7
09/11/2012,11,16,132.3
09/11/2012,11,17,108.0
09/11/2012,11,18,119.8
09/11/2012,11,19,117.5
09/11/2012,11,20,89.8
09/11/2012,11,21,62.5
09/11/2012,11,22,33.4
09/11/2012,11,23,29.7
10/11/2012,11,0,48.9
10/11/2012,11,1,16.0
10/11/2012,11,2,6.8
10/11/2012,11,3,7.9
10/11/2012,11,4,8.1
10/11/2012,11,5,28.0
10/11/2012,11,6,78.7
10/11/2012,11,7,117.8
10/11/2012,11,8,181.8
10/11/2012,11,9,112.8
10/11/2012,11,10,104.4
10/11/2012,11,11,80.9
10/11/2012,11,12,57.1
10/11/2012,11,13,56.4
10/11/2012,11,14,61.1
10/11/2012,11,15,48.1
10/11/2012,11,16,82.5
10/11/2012,11,17,69.0
10/11/2012,11,18,93.6
10/11/2012,11,19,77.7
10/11/2012,11,20,24.6
10/11/2012,11,21,59.7
10/11/2012,11,22,7.9
10/11/2012,11,23,11.8
11/11/2012,11,0,0.4
11/11/2012,11,1,3.0
11/11/2012,11,2,16.4
11/11/2012,11,3,1.5
11/11/2012,11,4,1.8
11/11/2012,11,5,1.3
11/11/2012,11,6,1.9
11/11/2012,11,7,4.0
11/11/2012,11,8,29.6
11/11/2012,11,9,11.8
11/11/2012,11,10,22.6
11/11/2012,11,11,22.9
11/11/2012,11,12,22.2
11/11/2012,11,13,26.7
11/11/2012,11,14,24.5
11/11/2012,11,15,28.2
11/11/2012,11,16,29.1
11/11/2012,11,17,24.2
11/11/2012,11,18,36.2
11/11/2012,11,19,25.6
11/11/2012,11,20,35.2
11/11/2012,11,21,41.8
11/11/2012,11,22,18.3
11/11/2012,11,23,12.9
12/11/2012,11,0,6.9
12/11/2012,11,1,4.7
12/11/2012,11,2,18.4
12/11/2012,11,3,6.5
12/11/2012,11,4,7.1
12/11/2012,11,5,18.3
12/11/2012,11,6,42.7
12/11/2012,11,7,78.0
12/11/2012,11,8,96.7
12/11/2012,11,9,82.1
12/11/2012,11,10,75.1
12/11/2012,11,11,96.5
12/11/2012,11,12,114.8
12/11/2012,11,13,135.9
12/11/2012,11,14,189.8
12/11/2012,11,15,219.8
12/11/2012,11,16,170.9
12/11/2012,11,17,103.8
12/11/2012,11,18,65.0
12/11/2012,11,19,52.5
12/11/2012,11,20,33.6
12/11/2012,11,21,42.5
12/11/2012,11,22,28.1
12/11/2012,11,23,28.7
13/11/2012,11,0,25.3
13/11/2012,11,1,16.0
13/11/2012,11,2,11.0
13/11/2012,11,3,7.0
13/11/2012,11,4,12.2
13/11/2012,11,5,20.9
13/11/2012,11,6,34.4
13/11/2012,11,7,69.2
13/11/2012,11,8,82.8
13/11/2012,11,9,129.0
13/11/2012,11,10,109.2
13/11/2012,11,11,108.9
13/11/2012,11,12,123.1
13/11/2012,11,13,77.1
13/11/2012,11,14,82.6
13/11/2012,11,15,93.6
13/11/2012,11,16,97.1
13/11/2012,11,17,89.3
13/11/2012,11,18,94.9
13/11/2012,11,19,71.3
13/11/2012,11,20,41.7
13/11/2012,11,21,21.6
13/11/2012,11,22,38.1
13/11/2012,11,23,35.4
14/11/2012,11,0,22.9
14/11/2012,11,1,19.3
14/11/2012,11,2,29.2
14/11/2012,11,3,36.4
14/11/2012,11,4,32.0
14/11/2012,11,5,52.5
14/11/2012,11,6,72.1
14/11/2012,11,7,131.9
14/11/2012,11,8,192.8
14/11/2012,11,9,139.5
14/11/2012,11,10,124.1
14/11/2012,11,11,122.9
14/11/2012,11,12,102.1
14/11/2012,11,13,125.9
14/11/2012,11,14,135.7
14/11/2012,11,15,160.5
14/11/2012,11,16,189.6
14/11/2012,11,17,186.8
14/11/2012,11,18,202.5
14/11/2012,11,19,144.1
14/11/2012,11,20,101.6
14/11/2012,11,21,89.0
14/11/2012,11,22,84.4
14/11/2012,11,23,65.0
15/11/2012,11,0,44.4
15/11/2012,11,1,23.4
15/11/2012,11,2,14.6
15/11/2012,11,3,22.8
15/11/2012,11,4,26.3
15/11/2012,11,5,46.8
15/11/2012,11,6,85.9
15/11/2012,11,7,190.3
15/11/2012,11,8,219.7
15/11/2012,11,9,152.5
15/11/2012,11,10,112.5
15/11/2012,11,11,106.7
15/11/2012,11,12,109.7
15/11/2012,11,13,103.5
15/11/2012,11,14,120.4
15/11/2012,11,15,119.1
15/11/2012,11,16,164.8
15/11/2012,11,17,161.6
15/11/2012,11,18,161.4
15/11/2012,11,19,113.1
15/11/2012,11,20,85.8
15/11/2012,11,21,70.0
15/11/2012,11,22,51.0
15/11/2012,11,23,48.0
16/11/2012,11,0,32.0
16/11/2012,11,1,18.0
16/11/2012,11,2,14.8
16/11/2012,11,3,13.5
16/11/2012,11,4,27.3
16/11/2012,11,5,44.1
16/11/2012,11,6,80.5
16/11/2012,11,7,136.9
16/11/2012,11,8,133.9
16/11/2012,11,9,119.6
16/11/2012,11,10,103.4
16/11/2012,11,11,118.9
16/11/2012,11,12,128.2
16/11/2012,11,13,140.4
16/11/2012,11,14,124.6
16/11/2012,11,15,141.4
16/11/2012,11,16,159.4
