Date,Month,Hour Taken,Pollutant
01/10/2018,10,0,0.0
01/10/2018,10,1,0.0
01/10/2018,10,2,1.2
01/10/2018,10,3,2.4
01/10/2018,10,4,3.7
01/10/2018,10,5,71.3
01/10/2018,10,6,97.5
01/10/2018,10,7,30.7
01/10/2018,10,8,8.3
01/10/2018,10,9,10.5
01/10/2018,10,10,26.4
01/10/2018,10,11,46.3
01/10/2018,10,12,28.7
01/10/2018,10,13,18.8
01/10/2018,10,14,32.3
01/10/2018,10,15,30.6
01/10/2018,10,16,30.9
01/10/2018,10,17,21.3
01/10/2018,10,18,13.7
01/10/2018,10,19,14.1
01/10/2018,10,20,15.1
01/10/2018,10,21,21.0
01/10/2018,10,22,16.0
01/10/2018,10,23,4.9
02/10/2018,10,0,0.0
02/10/2018,10,1,0.0
02/10/2018,10,2,0.0
02/10/2018,10,3,0.4
02/10/2018,10,4,1.9
02/10/2018,10,5,5.0
02/10/2018,10,6,20.2
02/10/2018,10,7,25.8
02/10/2018,10,8,32.7
02/10/2018,10,9,12.1
02/10/2018,10,10,16.8
02/10/2018,10,11,20.7
02/10/2018,10,12,18.4
02/10/2018,10,13,14.5
02/10/2018,10,14,23.1
02/10/2018,10,15,20.0
02/10/2018,10,16,23.3
02/10/2018,10,17,19.5
02/10/2018,10,18,10.4
02/10/2018,10,19,6.2
02/10/2018,10,20,1.7
02/10/2018,10,21,3.8
02/10/2018,10,22,2.7
02/10/2018,10,23,0.7
03/10/2018,10,0,0.0
03/10/2018,10,1,0.0
03/10/2018,10,2,0.0
03/10/2018,10,3,1.0
03/10/2018,10,4,2.8
03/10/2018,10,5,9.6
03/10/2018,10,6,45.1
03/10/2018,10,7,59.5
03/10/2018,10,8,50.2
03/10/2018,10,9,30.8
03/10/2018,10,10,37.7
03/10/2018,10,11,33.1
03/10/2018,10,12,34.6
03/10/2018,10,13,30.2
03/10/2018,10,14,41.5
03/10/2018,10,15,30.8
03/10/2018,10,16,47.6
03/10/2018,10,17,40.9
03/10/2018,10,18,31.0
03/10/2018,10,19,21.1
03/10/2018,10,20,22.9
03/10/2018,10,21,17.5
03/10/2018,10,22,11.4
03/10/2018,10,23,8.0
04/10/2018,10,0,1.3
04/10/2018,10,1,3.4
04/10/2018,10,2,14.8
04/10/2018,10,3,5.4
04/10/2018,10,4,24.9
04/10/2018,10,5,40.1
04/10/2018,10,6,95.6
04/10/2018,10,7,109.3
04/10/2018,10,8,85.2
04/10/2018,10,9,77.0
04/10/2018,10,10,51.6
04/10/2018,10,11,51.2
04/10/2018,10,12,76.0
04/10/2018,10,13,45.7
04/10/2018,10,14,48.0
04/10/2018,10,15,41.7
04/10/2018,10,16,59.0
04/10/2018,10,17,38.5
04/10/2018,10,18,41.1
04/10/2018,10,19,28.4
04/10/2018,10,20,30.6
04/10/2018,10,21,24.2
04/10/2018,10,22,14.3
04/10/2018,10,23,7.3
05/10/2018,10,0,3.2
05/10/2018,10,1,3.2
05/10/2018,10,2,3.4
05/10/2018,10,3,4.3
05/10/2018,10,4,23.7
05/10/2018,10,5,41.2
05/10/2018,10,6,107.6
05/10/2018,10,7,113.5
