Date,Month,Hour Taken,Pollutant
01/09/2014,9,0,5.3
01/09/2014,9,1,4.7
01/09/2014,9,2,4.1
01/09/2014,9,3,6.6
01/09/2014,9,4,8.5
01/09/2014,9,5,7.9
01/09/2014,9,6,20.6
01/09/2014,9,7,69.3
01/09/2014,9,8,16.9
01/09/2014,9,9,4.5
01/09/2014,9,10,13.0
01/09/2014,9,11,19.1
01/09/2014,9,12,14.9
01/09/2014,9,13,20.6
01/09/2014,9,14,19.2
01/09/2014,9,15,24.9
01/09/2014,9,16,16.5
01/09/2014,9,17,13.4
01/09/2014,9,18,5.1
01/09/2014,9,19,2.1
01/09/2014,9,20,0.5
01/09/2014,9,21,1.1
01/09/2014,9,22,0.2
01/09/2014,9,23,0.1
02/09/2014,9,0,0.0
02/09/2014,9,1,0.0
02/09/2014,9,2,0.0
02/09/2014,9,3,0.0
02/09/2014,9,4,4.6
02/09/2014,9,5,0.5
02/09/2014,9,6,28.9
02/09/2014,9,7,68.5
02/09/2014,9,9,21.1
02/09/2014,9,1,44.8
02/09/2014,9,11,48.2
02/09/2014,9,12,49.4
02/09/2014,9,13,32.2
02/09/2014,9,14,23.3
02/09/2014,9,15,13.0
02/09/2014,9,16,2.5
02/09/2014,9,17,2.9
02/09/2014,9,18,0.4
02/09/2014,9,19,0.0
02/09/2014,9,20,0.3
02/09/2014,9,21,3.6
02/09/2014,9,22,16.4
02/09/2014,9,23,10.1
03/09/2014,9,0,5.0
03/09/2014,9,1,5.9
03/09/2014,9,2,4.1
03/09/2014,9,3,13.5
03/09/2014,9,4,27.8
03/09/2014,9,5,71.5
03/09/2014,9,6,112.0
03/09/2014,9,7,140.0
03/09/2014,9,8,113.5
03/09/2014,9,9,103.4
03/09/2014,9,10,70.9
03/09/2014,9,11,69.5
03/09/2014,9,12,72.0
03/09/2014,9,13,93.6
03/09/2014,9,14,63.4
03/09/2014,9,15,61.5
03/09/2014,9,16,67.7
03/09/2014,9,17,54.2
03/09/2014,9,18,46.6
03/09/2014,9,19,21.7
03/09/2014,9,20,12.0
03/09/2014,9,21,7.3
03/09/2014,9,22,15.7
03/09/2014,9,23,6.7
04/09/2014,9,0,2.6
04/09/2014,9,1,2.5
04/09/2014,9,2,1.4
04/09/2014,9,3,7.7
04/09/2014,9,4,22.1
04/09/2014,9,5,46.7
04/09/2014,9,6,83.8
04/09/2014,9,7,91.2
04/09/2014,9,8,70.0
04/09/2014,9,9,55.1
04/09/2014,9,10,45.6
04/09/2014,9,11,43.7
04/09/2014,9,12,53.6
04/09/2014,9,13,41.9
04/09/2014,9,14,48.0
04/09/2014,9,15,45.5
04/09/2014,9,16,43.2
04/09/2014,9,17,33.1
04/09/2014,9,18,34.7
04/09/2014,9,19,9.4
04/09/2014,9,20,12.5
04/09/2014,9,21,17.4
04/09/2014,9,22,5.3
04/09/2014,9,23,1.2
05/09/2014,9,0,4.2
05/09/2014,9,1,1.3
05/09/2014,9,2,0.5
05/09/2014,9,3,1.7
05/09/2014,9,4,3.6
05/09/2014,9,5,4.4
05/09/2014,9,6,6.9
05/09/2014,9,7,29.2
05/09/2014,9,8,60.5
05/09/2014,9,9,50.3
05/09/2014,9,10,44.2
05/09/2014,9,11,50.5
05/09/2014,9,12,28.8
05/09/2014,9,13,31.8
05/09/2014,9,14,33.2
05/09/2014,9,15,28.6
05/09/2014,9,16,26.3
05/09/2014,9,17,16.2
05/09/2014,9,18,7.6
05/09/2014,9,19,9.3
05/09/2014,9,20,5.6
05/09/2014,9,21,3.6
05/09/2014,9,22,6.2
05/09/2014,9,23,4.1
06/09/2014,9,0,3.6
06/09/2014,9,1,0.8
06/09/2014,9,2,0.5
06/09/2014,9,3,0.8
06/09/2014,9,4,1.8
06/09/2014,9,5,2.6
06/09/2014,9,6,7.2
06/09/2014,9,7,8.0
06/09/2014,9,8,21.2
06/09/2014,9,9,29.0
06/09/2014,9,10,36.9
06/09/2014,9,11,30.5
06/09/2014,9,12,29.1
06/09/2014,9,13,24.3
06/09/2014,9,14,21.2
06/09/2014,9,15,21.0
06/09/2014,9,16,19.9
06/09/2014,9,17,17.2
06/09/2014,9,18,16.3
06/09/2014,9,19,7.6
06/09/2014,9,20,7.3
06/09/2014,9,21,6.5
06/09/2014,9,22,2.6
06/09/2014,9,23,1.6
07/09/2014,9,0,0.2
07/09/2014,9,1,0.1
07/09/2014,9,2,0.0
07/09/2014,9,3,0.0
07/09/2014,9,4,0.1
07/09/2014,9,5,0.0
07/09/2014,9,6,0.7
07/09/2014,9,7,2.2
07/09/2014,9,8,2.1
07/09/2014,9,9,6.3
07/09/2014,9,10,4.4
07/09/2014,9,11,10.8
07/09/2014,9,12,9.4
07/09/2014,9,13,12.5
07/09/2014,9,14,10.9
07/09/2014,9,15,8.0
07/09/2014,9,16,9.2
07/09/2014,9,17,7.5
07/09/2014,9,18,8.0
07/09/2014,9,19,0.8
07/09/2014,9,20,6.1
07/09/2014,9,21,5.2
07/09/2014,9,22,0.4
07/09/2014,9,23,0.1
08/09/2014,9,8,58.0
08/09/2014,9,9,18.5
08/09/2014,9,1,18.5
08/09/2014,9,1,125.3
08/09/2014,9,1,223.2
08/09/2014,9,1,325.8
08/09/2014,9,1,430.6
08/09/2014,9,1,531.0
08/09/2014,9,1,625.6
08/09/2014,9,1,715.1
08/09/2014,9,18,13.6
08/09/2014,9,19,2.5
08/09/2014,9,20,0.8
08/09/2014,9,21,12.2
08/09/2014,9,22,10.1
08/09/2014,9,23,12.6
09/09/2014,9,0,5.7
09/09/2014,9,1,4.9
09/09/2014,9,2,3.4
09/09/2014,9,3,8.4
09/09/2014,9,4,33.8
09/09/2014,9,5,82.5
09/09/2014,9,6,204.8
09/09/2014,9,7,175.3
09/09/2014,9,8,107.5
09/09/2014,9,9,79.9
09/09/2014,9,10,50.7
09/09/2014,9,11,42.2
09/09/2014,9,12,27.9
09/09/2014,9,13,31.2
09/09/2014,9,14,42.2
09/09/2014,9,15,20.2
09/09/2014,9,16,17.9
09/09/2014,9,17,16.1
09/09/2014,9,18,3.2
09/09/2014,9,19,0.5
09/09/2014,9,20,0.1
09/09/2014,9,21,0.0
09/09/2014,9,22,0.3
09/09/2014,9,23,4.9
10/09/2014,9,0,3.9
10/09/2014,9,1,1.0
10/09/2014,9,2,3.1
10/09/2014,9,3,10.2
10/09/2014,9,4,36.1
10/09/2014,9,5,111.9
10/09/2014,9,6,166.3
10/09/2014,9,7,195.7
10/09/2014,9,8,132.1
10/09/2014,9,9,106.6
10/09/2014,9,10,77.2
10/09/2014,9,11,60.8
10/09/2014,9,12,70.6
10/09/2014,9,13,60.8
10/09/2014,9,14,69.1
10/09/2014,9,15,61.0
10/09/2014,9,16,36.7
10/09/2014,9,17,43.3
10/09/2014,9,18,2.5
10/09/2014,9,19,0.1
10/09/2014,9,20,2.6
10/09/2014,9,21,4.6
10/09/2014,9,22,8.6
10/09/2014,9,23,2.9
11/09/2014,9,0,2.6
11/09/2014,9,1,7.5
11/09/2014,9,2,14.5
11/09/2014,9,3,7.6
11/09/2014,9,4,34.8
11/09/2014,9,5,81.6
11/09/2014,9,6,104.0
11/09/2014,9,7,139.0
11/09/2014,9,8,131.0
11/09/2014,9,9,99.5
11/09/2014,9,10,90.3
11/09/2014,9,11,57.8
11/09/2014,9,12,60.9
11/09/2014,9,13,71.3
11/09/2014,9,14,47.4
11/09/2014,9,15,42.5
11/09/2014,9,16,42.5
11/09/2014,9,17,19.5
11/09/2014,9,18,0.8
11/09/2014,9,19,0.3
11/09/2014,9,20,2.2
11/09/2014,9,21,5.3
11/09/2014,9,22,16.6
11/09/2014,9,23,12.2
12/09/2014,9,0,4.9
12/09/2014,9,1,7.1
12/09/2014,9,2,6.0
12/09/2014,9,3,7.3
12/09/2014,9,4,21.1
12/09/2014,9,5,41.1
12/09/2014,9,6,80.1
12/09/2014,9,7,145.8
12/09/2014,9,8,112.6
12/09/2014,9,9,101.4
12/09/2014,9,10,76.2
12/09/2014,9,11,53.4
12/09/2014,9,12,74.0
12/09/2014,9,13,70.5
12/09/2014,9,14,72.0
12/09/2014,9,15,41.1
12/09/2014,9,16,37.9
12/09/2014,9,17,16.2
12/09/2014,9,18,1.4
12/09/2014,9,19,10.3
12/09/2014,9,20,1.3
12/09/2014,9,21,6.9
12/09/2014,9,22,13.6
12/09/2014,9,23,5.8
13/09/2014,9,0,18.8
13/09/2014,9,1,6.0
13/09/2014,9,2,3.4
13/09/2014,9,3,5.2
13/09/2014,9,4,13.4
13/09/2014,9,5,22.0
13/09/2014,9,6,35.5
13/09/2014,9,7,44.6
13/09/2014,9,8,46.4
13/09/2014,9,9,63.4
13/09/2014,9,10,48.6
13/09/2014,9,11,53.3
13/09/2014,9,12,43.9
13/09/2014,9,13,38.6
13/09/2014,9,14,9.4
13/09/2014,9,15,14.0
13/09/2014,9,16,18.9
13/09/2014,9,17,4.7
13/09/2014,9,18,2.6
13/09/2014,9,19,4.2
13/09/2014,9,20,2.4
13/09/2014,9,21,2.3
13/09/2014,9,22,1.8
13/09/2014,9,23,6.2
14/09/2014,9,0,2.8
14/09/2014,9,1,0.5
14/09/2014,9,2,0.0
14/09/2014,9,3,0.2
14/09/2014,9,4,0.4
14/09/2014,9,5,5.5
14/09/2014,9,6,4.7
14/09/2014,9,7,3.9
14/09/2014,9,8,5.6
14/09/2014,9,9,4.6
14/09/2014,9,10,5.8
14/09/2014,9,11,9.8
14/09/2014,9,12,7.1
14/09/2014,9,13,4.7
14/09/2014,9,14,4.8
14/09/2014,9,15,3.8
14/09/2014,9,16,2.5
14/09/2014,9,17,4.5
14/09/2014,9,18,1.8
14/09/2014,9,19,0.3
14/09/2014,9,20,0.3
14/09/2014,9,21,0.0
14/09/2014,9,22,0.0
14/09/2014,9,23,0.5
15/09/2014,9,0,0.3
15/09/2014,9,1,0.0
15/09/2014,9,2,0.5
15/09/2014,9,3,0.6
15/09/2014,9,4,1.5
15/09/2014,9,5,2.6
15/09/2014,9,6,9.1
15/09/2014,9,7,17.7
15/09/2014,9,8,11.4
15/09/2014,9,9,7.3
15/09/2014,9,10,33.8
15/09/2014,9,11,41.8
15/09/2014,9,12,39.2
15/09/2014,9,13,60.1
15/09/2014,9,14,42.3
15/09/2014,9,15,6.4
15/09/2014,9,16,31.6
15/09/2014,9,17,6.8
15/09/2014,9,18,0.1
15/09/2014,9,19,1.1
15/09/2014,9,20,1.4
15/09/2014,9,21,2.5
15/09/2014,9,22,6.8
15/09/2014,9,23,2.8
16/09/2014,9,0,1.5
16/09/2014,9,1,1.6
16/09/2014,9,2,4.2
16/09/2014,9,3,4.7
16/09/2014,9,4,14.5
16/09/2014,9,5,47.2
16/09/2014,9,6,50.4
16/09/2014,9,7,50.2
16/09/2014,9,8,71.1
16/09/2014,9,9,45.4
16/09/2014,9,10,77.7
16/09/2014,9,11,67.7
16/09/2014,9,12,44.7
16/09/2014,9,13,59.9
16/09/2014,9,14,78.9
16/09/2014,9,15,62.6
16/09/2014,9,16,50.1
16/09/2014,9,17,33.4
16/09/2014,9,18,18.6
16/09/2014,9,19,13.9
16/09/2014,9,20,7.9
16/09/2014,9,21,2.9
16/09/2014,9,22,5.0
16/09/2014,9,23,1.8
17/09/2014,9,0,0.8
17/09/2014,9,1,1.3
17/09/2014,9,2,1.1
17/09/2014,9,3,2.4
17/09/2014,9,4,12.6
17/09/2014,9,5,49.1
17/09/2014,9,6,67.2
17/09/2014,9,7,58.6
17/09/2014,9,8,61.7
17/09/2014,9,9,46.6
17/09/2014,9,10,35.3
17/09/2014,9,11,34.6
17/09/2014,9,12,31.3
17/09/2014,9,13,12.7
17/09/2014,9,14,20.9
17/09/2014,9,15,19.0
17/09/2014,9,16,20.0
17/09/2014,9,17,10.5
17/09/2014,9,18,9.6
17/09/2014,9,19,9.3
17/09/2014,9,20,6.3
17/09/2014,9,21,3.8
17/09/2014,9,22,5.1
17/09/2014,9,23,3.8
18/09/2014,9,0,0.8
18/09/2014,9,1,1.3
18/09/2014,9,2,2.5
18/09/2014,9,3,6.2
18/09/2014,9,4,20.1
18/09/2014,9,5,25.4
18/09/2014,9,6,35.8
18/09/2014,9,7,38.4
18/09/2014,9,8,37.3
18/09/2014,9,9,51.0
18/09/2014,9,10,57.0
18/09/2014,9,11,57.8
18/09/2014,9,12,57.2
18/09/2014,9,13,48.2
18/09/2014,9,14,25.1
18/09/2014,9,15,20.4
18/09/2014,9,16,12.8
18/09/2014,9,17,8.5
18/09/2014,9,18,8.2
18/09/2014,9,19,8.2
18/09/2014,9,20,4.1
18/09/2014,9,21,2.9
18/09/2014,9,22,2.0
18/09/2014,9,23,1.0
19/09/2014,9,0,0.4
19/09/2014,9,1,0.6
19/09/2014,9,2,0.2
19/09/2014,9,3,10.3
19/09/2014,9,4,12.8
19/09/2014,9,5,9.7
19/09/2014,9,6,44.6
19/09/2014,9,7,64.2
19/09/2014,9,8,68.8
19/09/2014,9,9,70.7
19/09/2014,9,10,51.4
